Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,2026_DOLBU_1120164_167,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDERNOTICE,WARD NO.20 ME NIRAJ SINGH KE GHAR SE NIKETAN BHAVAN V SANJAY CHAURASIYA SE RAMANAND SHARMA KE GHAR TAK C.C.ROAD NIRMAN AV NALI MARMMAT KARYA,WARD NO.20 ME NIRAJ SINGH KE GHAR SE NIKETAN BHAVAN V SANJAY CHAURASIYA SE RAMANAND SHARMA KE GHAR TAK C.C.ROAD NIRMAN AV NALI MARMMAT KARYA,Please refer Tender documents. ,NA ,"17,72,088",Civil Works,NA ,Tender,90.0,90.0,NPP DEORIA,274001.0,NA ,NA ,NA ,NPP DEORIA,No ,No,"2,591",Nil,Nil,No,28-Feb-2026 11:00 AM,25-Mar-2026 03:00 PM,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,20-Apr-2026 03:00 PM,EO NPP DEORIA,NPP DEORIA,1.0,SBI Bank,"1,77,209",No,fixed,,Nil,Nil,AOC,Technical,TECHNICAL BID OPENED,Jai Ram Yadav,18-Apr-2026 01:11 PM,,Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,2026_DOLBU_1120164_167,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,WARD NO.20 ME NIRAJ SINGH KE GHAR SE NIKETAN BHAVAN V SANJAY CHAURASIYA SE RAMANAND SHARMA KE GHAR TAK C.C.ROAD NIRMAN AV NALI MARMMAT KARYA,1.0,5999314.0,RAMESHWAR SINGH,INR,"1,770,493.12",1,6001100,HARENDRA SINGH,23-Mar-2026 09:10 PM,Rejected-Finance,L3,21-Apr-2026 08:39 AM,Finance,FINANCIAL BID OPENED,Jai Ram Yadav,20-Apr-2026 09:05 PM,,BOQ Comparative Chart,09-Jun-2026,"INR 1,770,493.12",90.0,Sanjay kumar Tiwari,18-Jun-2026 06:29 PM,Scan_0001.pdf (566.00 KB),"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Jai Ram Yadav,21-Apr-2026 08:39 AM,finsummary_2085361.pdf (88.64 KB),"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Jai Ram Yadav,20-Apr-2026 02:58 PM,20-Apr-2026 03:00 PM,techsummary_2085361.pdf (475.97 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,6000789,M/S SWETANK FOUNDATION,23-Mar-2026 08:52 PM,Rejected-Finance,L2,21-Apr-2026 08:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3,5999314,RAMESHWAR SINGH,23-Mar-2026 01:08 PM,Accepted-AOC,L1,18-Jun-2026 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
