S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,6132783.0,JYOTIRADITYA CONSTRUCTION AND SUPPLIERS,21-May-2026 06:59 AM,Accepted-AOC,LOWEST RATE,11-Jun-2026 08:49 AM,1.0,6132783.0,JYOTIRADITYA CONSTRUCTION AND SUPPLIERS,INR,"817,077",Directorate of Local Bodies UP||Nagar Panchayat Mahul Azamgarh,2026_DOLBU_1141707_1,24/NPM/UNTIED1/2026-27,CIVIL WORK,10-Jun-2026,"INR 817,077",30.0,Avadhesh Misra,11-Jun-2026 08:49 AM,AOC07.pdf (640.00 KB),AWARDED OF CONTRACT,AVADHESH MISRA,Internal,RAJATKUMARSANTOSHGOND,rajat kumar,10-Jun-2026 08:47 AM,finsummary_2132126.pdf (194.14 KB),Technical,3BIDADMITTED,rajat kumar,30-May-2026 05:52 PM,technical_2132126.pdf,AVADHESHMISRA,Internal,RAJATKUMARSANTOSHGOND,rajat kumar,04-Jun-2026 07:50 PM,05-Jun-2026 09:00 AM,techsummary_2132126.pdf (80.64 KB),Finance,3bidderadmitted,rajat kumar,09-Jun-2026 11:44 PM,finance_2132126.pdf,BOQ Comparative Chart,AOC,Directorate of Local Bodies UP||Nagar Panchayat Mahul Azamgarh,24/NPM/UNTIED1/2026-27,2026_DOLBU_1141707_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE OFFICER,NAGAR PANCHAYAT MAHUL AZAMGARH,966.0,EXECUTIVE OFFICER,NAGAR PANCHAYAT MAHUL AZAMGARH,No,1.0,Fee/PreQual/Technical,.pdf,Nit,25-Apr-2026 10:00 AM,22-May-2026 02:00 PM,25-Apr-2026 10:00 AM,21-May-2026 05:00 PM,NA ,NA ,25-Apr-2026 10:00 AM,21-May-2026 05:00 PM,05-Jun-2026 09:00 AM,CIVIL WORK,WARD NO-10/2 ME BIFAL KE MAKAN SE RAVINDRA KUMAR KE MAKAN TAK NALI NIRMAN KARYA.,Please refer Tender documents. ,NA ,"8,18,715",Civil Works,NA ,Tender,90.0,30.0,NP MAHUL,223225.0,NA ,NA ,NA ,NP MAHUL,No ,No,1,DD - Demand Draft,"81,872",No,fixed,,EXECUTIVE OFFICER,NAGAR PANCHAYAT MAHUL AZAMGARH,1.0,DATEEXTENDED,Date,,AOC
2.0,6134085.0,M/S ASHWANI KUMAR,21-May-2026 04:11 PM,Rejected-Finance,HIGHEST RATE,10-Jun-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SS - Small Savings Instrument,,,,,,,,,,,AOC
3.0,6133002.0,SUNEETA CONSTRUCTION,21-May-2026 10:08 AM,Rejected-Finance,HIGHEST RATE,10-Jun-2026 08:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RTGS - RTGS Payment,,,,,,,,,,,AOC
