Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
08-Jun-2026,"INR 207,546.18",30.0,Satyawan Singh,08-Jun-2026 01:38 PM,w1damokegharchart.pdf (705.00 KB),1,6142682,S D INFRATECH,26-May-2026 09:37 AM,Accepted-AOC,L1,08-Jun-2026 01:38 PM,Directorate of Local Bodies UP||Nagar Panchayat Kirawali Agra,2026_DOLBU_1140464_2,18/NPK/2026-27,"Ward no-01, me damo ke ghar ke pas khinni wale raste par RCC puliya ka nirman karya",1.0,6142682.0,S D INFRATECH,INR,"207,546.18",Finance,Financial bid admitted,Satyawan Singh,08-Jun-2026 12:07 PM,,BOQ Comparative Chart,Mohammad Raza,Internal,"Monu Singh JE, Satyavan Singh Clerk.",Satyawan Singh,04-Jun-2026 01:52 PM,04-Jun-2026 01:55 PM,techsummary_2153663.pdf (306.39 KB),Technical,Technical bid admitted,Satyawan Singh,04-Jun-2026 12:52 PM,,Mohammad Raza,Internal,"Monu Singh JE, Satyvan Singh Clerk.",Satyawan Singh,08-Jun-2026 12:29 PM,finsummary_2153663.pdf (312.67 KB),AOC,1,FDR - Fixed Deposit,"20,765",No,fixed,,EO,"Nagar Panchayat Kiraoli, Agra",19-May-2026 05:45 PM,26-May-2026 12:00 PM,19-May-2026 05:45 PM,26-May-2026 10:00 AM,NA ,NA ,19-May-2026 06:00 PM,26-May-2026 10:00 AM,04-Jun-2026 01:55 PM,Executive Officer,"Office of Nagar Panchayat Kiraoli, Agra 283122",236.0,EO,"Nagar Panchayat Kiraoli, Agra",No,"Ward no-01, me damo ke ghar ke pas khinni wale raste par RCC puliya ka nirman karya",construction work,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,60.0,NA ,"Nagar Panchayat Kiraoli, Agra",283122.0,NA ,NA ,NA ,"Office of Nagar Panchayat Kiraoli, Agra",No ,No,Directorate of Local Bodies UP||Nagar Panchayat Kirawali Agra,18/NPK/2026-27,2026_DOLBU_1140464_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,Tender docs,AOC
,,,,,,2,6142572,SHRI BALAJI CONTRACTOR,26-May-2026 08:53 AM,Rejected-Finance,L2,08-Jun-2026 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Docs,AOC
