Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Amila Mau,130/NPA/CMNSY/2026-27 12,2026_DOLBU_1155679_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"3,600","EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",No,"EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",1.0,RTGS - RTGS Payment,01-Jun-2026 05:00 PM,23-Jun-2026 02:00 PM,01-Jun-2026 05:00 PM,22-Jun-2026 11:00 AM,NA ,NA ,01-Jun-2026 05:00 PM,22-Jun-2026 11:00 AM,25-Jun-2026 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,NP Amila CMNSY Yojana,Ward No 08 Mo. Jharkhandey Nagar Me Ramshabad Ke Makan Se Panchayat Bhavan Hote Hue Mahabharat Ke Khet Ke Pass Tirahe Tak Covered Mini Nala v CC Road Ka Karya,Please refer Tender documents. ,"EO Nagar Panchayat Amila, Mau ","31,15,000",Civil Works - Roads,NA ,Tender,90.0,120.0,"EO Nagar Panchayat Amila, Mau",275301.0,NA ,NA ,NA ,"EO Nagar Panchayat Amila, Mau",No ,No,"3,11,500",No,percentage,10.0%,"EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",AOC,"EO Nagar Panchayat Amila, Mau",Internal,,Rajesh Kumar,27-Jun-2026 04:24 PM,finsummary_2165008.pdf (87.65 KB),Technical,TEC,Rajesh Kumar,24-Jun-2026 01:00 PM,technical_2165008.pdf,"EO Nagar Panchayat Amila, Mau",Internal,,Rajesh Kumar,24-Jun-2026 01:02 PM,25-Jun-2026 10:00 AM,techsummary_2165008.pdf (87.65 KB),Finance,Chart,Rajesh Kumar,27-Jun-2026 04:20 PM,finance_2165008.pdf,BOQ Comparative Chart,1,6210551,M/S A K CONSTRUCTION,21-Jun-2026 05:10 PM,Accepted-AOC,LOW ESTIMATE RATE,27-Jun-2026 04:28 PM,1.0,6210551.0,M/S A K CONSTRUCTION,INR,"3,105,655",Directorate of Local Bodies UP||Nagar Panchayat Amila Mau,2026_DOLBU_1155679_1,130/NPA/CMNSY/2026-27 12,NP Amila CMNSY Yojana,27-Jun-2026,"INR 3,105,655",120.0,Rajesh Kumar,27-Jun-2026 04:28 PM,12AOC.pdf (650.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finencial Bid,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6210405,M/S BHARAT TIWARI,21-Jun-2026 04:10 PM,Rejected-AOC,HIGH RATE,27-Jun-2026 04:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6210646,M/S B S CONSTRUCTION,21-Jun-2026 05:50 PM,Rejected-AOC,HIGH RATE,27-Jun-2026 04:28 PM,,,,,,,,,,,,,,,,AOC
