Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANPUR DEHAT,2026_REDUP_1137775_1,27/EE/RED DT 07.04.2026,JANPAD KANPUR DEHAT KE RANIYA KSHETRANTRAGT GRAM KHANCHNAPUR ME BHANDARIT KROMIUM APSHISHT KE CHARO OR TEENSHED SE FANCING KA KARYE,1.0,6075813.0,SHREE RAMA ENTERPRISES,INR,"3,636,644.76",1,6078754,M/S DEEPAK ENTERPRISES,29-Apr-2026 07:52 PM,Rejected-Finance,L3,25-May-2026 05:11 PM,06-Jun-2026,"INR 3,636,644.76",90.0,MARSHAL KUMAR,06-Jun-2026 04:25 PM,aoc4545.pdf (372.00 KB),Marshal Kumar,Internal,,MARSHAL KUMAR,25-May-2026 05:11 PM,finsummary_2124429.pdf (437.34 KB),Technical,Bid Opening Summary,MARSHAL KUMAR,06-May-2026 06:07 PM,technical_2124429.pdf,Marshal Kumar,Internal,Narndranath Gupt DAO and Vishwajit Trivedi AE,MARSHAL KUMAR,06-May-2026 06:10 PM,07-May-2026 01:00 PM,techsummary_2124429.pdf (316.99 KB),Finance,Bid Opening Summary,MARSHAL KUMAR,07-May-2026 02:44 PM,finance_2124429.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANPUR DEHAT,27/EE/RED DT 07.04.2026,2026_REDUP_1137775_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,209 VIKASH BHAWAN MATI KANPUR DEHAT,16-Apr-2026 03:20 PM,30-Apr-2026 12:30 PM,16-Apr-2026 03:20 PM,30-Apr-2026 12:00 PM,NA ,NA ,16-Apr-2026 04:00 PM,30-Apr-2026 12:00 PM,07-May-2026 01:00 PM,JANPAD KANPUR DEHAT KE RANIYA KSHETRANTRAGT GRAM KHANCHNAPUR ME BHANDARIT KROMIUM APSHISHT KE CHARO OR TEENSHED SE FANCING KA KARYE,JANPAD KANPUR DEHAT KE RANIYA KSHETRANTRAGT GRAM KHANCHNAPUR ME BHANDARIT KROMIUM APSHISHT KE CHARO OR TEENSHED SE FANCING KA KARYE,Please refer Tender documents. ,NA ,"39,99,000",Civil Works,NA ,Tender,90.0,NA ,KANPUR DEHAT,209101.0,209 VIKASH BHAWAN MATI KANPUR DEHAT ,209 VIKASH BHAWAN MATI KANPUR DEHAT ,23-Apr-2026 12:00 PM ,209 VIKASH BHAWAN MATI KANPUR DEHAT,No ,No,"80,000",No,fixed,,Nil,Nil,854.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,2,6078548,MS RAM JANKI ENTERPRISES,29-Apr-2026 07:28 PM,Rejected-Finance,L2,25-May-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6075813,SHREE RAMA ENTERPRISES,30-Apr-2026 07:20 AM,Accepted-AOC,L1,06-Jun-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
