S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,6192445.0,MOHAMMED ADIL,13-Jun-2026 04:07 PM,Rejected-AOC,L3,28-Jun-2026 02:21 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1152361_1,229/NP/NV/RVA/2026-27,7-npp sandila me wn9 me kanha kunj bhawan ke samne islam ke makan se ramchandra va suresh kumar ke makan tak nali va cc road ka nirman karya,1.0,6194180.0,STAR BUILDERS & SUPPLIERS,INR,"720,636.42",29-Jun-2026,"INR 720,636.42",60.0,Shiv Kumar,28-Jun-2026 02:20 PM,7.pdf (404.00 KB),eo and je,Internal,,Shiv Kumar,27-Jun-2026 02:33 PM,27-Jun-2026 03:00 PM,techsummary_2158727.pdf (809.11 KB),Finance,STAR BUILDERS WINNER,Shiv Kumar,28-Jun-2026 02:13 PM,,BOQ Comparative Chart,eo and je,Internal,,Shiv Kumar,28-Jun-2026 02:18 PM,finsummary_2158727.pdf (403.68 KB),Technical,5 admitted,Shiv Kumar,27-Jun-2026 02:30 PM,,AOC,23-May-2026 05:00 PM,23-Jun-2026 11:00 AM,23-May-2026 05:00 PM,22-Jun-2026 05:00 PM,NA ,NA ,23-May-2026 05:00 PM,22-Jun-2026 05:00 PM,27-Jun-2026 03:00 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,229/NP/NV/RVA/2026-27,2026_DOLBU_1152361_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,911.0,adhishashi adhikari nagar palika parishad,sandila,No,"77,200",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,tech,7-npp sandila me wn9 me kanha kunj bhawan ke samne islam ke makan se ramchandra va suresh kumar ke makan tak nali va cc road ka nirman karya,7-npp sandila me wn9 me kanha kunj bhawan ke samne islam ke makan se ramchandra va suresh kumar ke makan tak nali va cc road ka nirman karya,Please refer Tender documents. ,NA ,"9,10,584",Civil Works,NA ,Tender,90.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,EO and JE,sandila,1.0,date extend,Date,,AOC
2.0,6210383.0,M/S PARVEZ ALAM CONTRACTOR AND SUPPLIERS,21-Jun-2026 04:08 PM,Rejected-AOC,L2,28-Jun-2026 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,2.0,conditions apply,Other,,AOC
3.0,6199817.0,M/S SANJAY TIWARI CONTRACTOR,16-Jun-2026 02:17 PM,Rejected-AOC,L4,28-Jun-2026 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,6210312.0,RIZWAN AHAMAD THEKEDAR,21-Jun-2026 03:37 PM,Rejected-AOC,L5,28-Jun-2026 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,6194180.0,STAR BUILDERS & SUPPLIERS,14-Jun-2026 05:49 PM,Accepted-AOC,L1,28-Jun-2026 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
