Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Khutar Shahjahanpur,2026_DOLBU_1142122_6,399/NPK/2026-27Dt-24-04-2026,Mo- Bajariya me Shakuntla ke makan se Khusiram ke makan tak Nali va Interlock Sadak Marammat/Sudhar ka Karya.,1.0,6104655.0,M/S OM SAI ENTERLOCK,INR,"591,183.49",1.0,6104655.0,M/S OM SAI ENTERLOCK,11-May-2026 05:20 AM,Accepted-AOC,0.15 Percent Below Rate,09-Jun-2026 12:31 PM,06-Jun-2026,"INR 591,183.49",60.0,Kalpana Sharma,09-Jun-2026 12:31 PM,wk06.pdf (127.00 KB),Work Order,KalpanaSharma,Internal,AnilsinghShyamsundar,Kalpana Sharma,26-May-2026 02:08 PM,26-May-2026 02:10 PM,techsummary_2133260.pdf (1066.99 KB),Finance,pdf,Kalpana Sharma,26-May-2026 03:58 PM,finance_2133260.pdf,BOQ Comparative Chart,KalpanaSharma,Internal,AnilsinghShyamsundar,Kalpana Sharma,26-May-2026 04:59 PM,finsummary_2133260.pdf (1073.68 KB),Technical,pdf,Kalpana Sharma,26-May-2026 01:08 PM,technical_2133260.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,nit,EO Khutar,Nagar Panchayat Khutar,"11,841",No,fixed,,EO,Khutar,27-Apr-2026 09:00 AM,12-May-2026 11:00 AM,27-Apr-2026 09:00 AM,11-May-2026 05:00 PM,NA ,NA ,27-Apr-2026 09:00 AM,11-May-2026 05:00 PM,26-May-2026 02:10 PM,1.0,Extantion Date,Date,,708.0,EO,Khutar,No,Mo- Bajariya me Shakuntla ke makan se Khusiram ke makan tak Nali va Interlock Sadak Marammat/Sudhar ka Karya.,Mo- Bajariya me Shakuntla ke makan se Khusiram ke makan tak Nali va Interlock Sadak Marammat/Sudhar ka Karya.,Please refer Tender documents. ,NA ,"5,92,072",Civil Works,NA ,Tender,90.0,NA ,NP Khutar,242405.0,NA ,NA ,NA ,NP Khutar,No ,No,1,SS - Small Savings Instrument,Directorate of Local Bodies UP||Nagar Panchayat Khutar Shahjahanpur,399/NPK/2026-27Dt-24-04-2026,2026_DOLBU_1142122_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2.0,6100832.0,M/S SHRI SAI CONSTRUCTIONS & GENRAL ORDER SUPPILER,11-May-2026 11:09 AM,Rejected-Finance,5 Percent Above Rate,26-May-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BG - Bank Guarantee,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,6100651.0,M/S VINSHNU TRADERS,11-May-2026 11:02 AM,Rejected-Finance,2 Percent Above Rate,26-May-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RTGS - RTGS Payment,,,,,,,,,,,,,,,AOC
