Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
19-Jun-2026,"INR 1,517,866.687",90.0,SANKALP VERMA,19-Jun-2026 02:28 PM,AgreementAbkari2000.pdf (1605.00 KB),Accepted,1.0,6099101.0,SHANTI CONSTRUCTION,INR,"1,517,866.687",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad||Unit-2 Allahabad,2026_UPPRC_1146132_1,2/PCL/PM/PRAYAG/2026-27/DT. 05.05.2026,"REPAIR WORK OF BUILDINGS RELATED TO SECTIONS LIKE STORE, MANAGEMENT, ACCOUNTS, LIBRARY, DISTRIBUTION, PRODUCTION, LAW, TECHNICAL, EIB AND STATISTICS ETC. IN THE BUILDING ESTABLISHED IN THE EXCISE HEADQUARTERS, PRAYAGRAJ CAMPUSTILES WITH NEW TILES, WA",1,6099138,m/s khushi enterprises,12-May-2026 02:05 AM,Rejected-AOC,Rejected,19-Jun-2026 02:28 PM,Finance,Comparative,SANKALP VERMA,19-Jun-2026 01:51 PM,finance_2143155.pdf,BOQ Comparative Chart,Sankalp,Internal,Ayush Kumar,SANKALP VERMA,19-May-2026 12:23 PM,19-May-2026 02:00 PM,techsummary_2143155.pdf (257.89 KB),Technical,Comparative,SANKALP VERMA,19-May-2026 12:19 PM,technical_2143155.pdf,Sankalp,Internal,Ayush Kumar,SANKALP VERMA,19-Jun-2026 02:25 PM,finsummary_2143155.pdf (257.89 KB),AOC,1,Fee/PreQual/Technical,.pdf,Technical,Project Manager,Prayagraj,"31,000",No,fixed,,Nil,Nil,"REPAIR WORK OF BUILDINGS RELATED TO SECTIONS LIKE STORE, MANAGEMENT, ACCOUNTS, LIBRARY, DISTRIBUTION, PRODUCTION, LAW, TECHNICAL, EIB AND STATISTICS ETC. IN THE BUILDING ESTABLISHED IN THE EXCISE HEADQUARTERS, PRAYAGRAJ CAMPUSTILES WITH NEW TILES, WA","REPAIR WORK OF BUILDINGS RELATED TO SECTIONS LIKE STORE, MANAGEMENT, ACCOUNTS, LIBRARY, DISTRIBUTION, PRODUCTION, LAW, TECHNICAL, EIB AND STATISTICS ETC. IN THE BUILDING ESTABLISHED IN THE EXCISE HEADQUARTERS, PRAYAGRAJ CAMPUSTILES WITH NEW TILES, WA","REPAIR WORK OF BUILDINGS RELATED TO SECTIONS LIKE STORE, MANAGEMENT, ACCOUNTS, LIBRARY, DISTRIBUTION, PRODUCTION, LAW, TECHNICAL, EIB AND STATISTICS ETC. IN THE BUILDING ESTABLISHED IN THE EXCISE HEADQUARTERS, PRAYAGRAJ CAMPUSTILES WITH NEW TILES, WA ",NA ,"15,20,000",Civil Works,NA ,Tender,90.0,90.0,Prayagraj,211004.0,Prayagraj ,Prayagraj ,07-May-2026 12:50 PM ,Prayagraj,No ,No,07-May-2026 12:50 PM,12-May-2026 02:00 PM,07-May-2026 12:50 PM,12-May-2026 01:00 PM,NA ,NA ,07-May-2026 12:50 PM,12-May-2026 01:00 PM,19-May-2026 02:00 PM,"5,900",Nil,Nil,No,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad||Unit-2 Allahabad,2/PCL/PM/PRAYAG/2026-27/DT. 05.05.2026,2026_UPPRC_1146132_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,6099101,SHANTI CONSTRUCTION,12-May-2026 12:58 AM,Accepted-AOC,Accepted,19-Jun-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
