Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
23-Mar-2026,"INR 61,132,415.68",279.0,BHARAM PAL SINGH,08-Jun-2026 10:33 AM,AOC453_24.pdf (1137.00 KB),AOC,Technical,UNDER EVALUATION,VIKAS KUMAR,26-Feb-2026 02:24 PM,,Committee,Internal,Committee,VIKAS KUMAR,26-Feb-2026 02:45 PM,26-Feb-2026 03:00 PM,techsummary_2041046.pdf (651.19 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,13-Mar-2026 11:32 AM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,23-Mar-2026 04:46 PM,finsummary_2041046.pdf (6532.47 KB),1.0,5826642.0,JAI SHIVA INFRA PROJECTS PRIVATE LIMITED,INR,"61,132,415.68",Yamuna Expressway Industrial Development Authority,2026_YEIDA_1105538_24,YEA/GM(PROJECT)/2025/453 DT-09/01/2026,"Construction of Drainage System along 75.00 mtr. wide peripheral road between Sector- 8 and 8 A, YEIDA WC-03",1,5828074,ELECSA INFRATECH PRIVATE LIMITED,28-Jan-2026 04:42 PM,Rejected-Finance,L3,23-Mar-2026 04:46 PM,AOC,"16,68,100",No,fixed,,Nil,Nil,15-Jan-2026 09:55 AM,30-Jan-2026 11:00 AM,15-Jan-2026 09:55 AM,28-Jan-2026 05:00 PM,NA ,NA ,15-Jan-2026 09:55 AM,28-Jan-2026 05:00 PM,26-Feb-2026 03:00 PM,"6,770",Nil,Nil,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/453 DT-09/01/2026,2026_YEIDA_1105538_24,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Construction of Drainage System along 75.00 mtr. wide peripheral road between Sector- 8 and 8 A, YEIDA WC-03","Construction of Drainage System along 75.00 mtr. wide peripheral road between Sector- 8 and 8 A, YEIDA WC-03",Please refer Tender documents. ,NA ,"8,34,00,294",Civil Works,NA ,Tender,90.0,279.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"E- TEDER CELL ,2ND FLOOR , YEIDA OFFICE",No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5826552,H.P. BUILDERS PRIVATE LIMITED,27-Jan-2026 04:01 PM,Rejected-Finance,L2,23-Mar-2026 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5826642,JAI SHIVA INFRA PROJECTS PRIVATE LIMITED,28-Jan-2026 03:30 PM,Accepted-AOC,L1,08-Jun-2026 10:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5828851,M/s Goodhill Builders,28-Jan-2026 03:33 PM,Rejected-Finance,L5,23-Mar-2026 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5828878,M/S GUPTA ASSOCIATES,28-Jan-2026 04:33 PM,Rejected-Finance,L4,23-Mar-2026 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5828217,M/S VINAY KUMAR,27-Jan-2026 11:05 PM,Rejected-Technical,DISQUALIFIED,26-Feb-2026 02:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5829414,Sunil Garg and Co,28-Jan-2026 04:37 PM,Rejected-Finance,L5,23-Mar-2026 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
