Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD - 36 Jaunpur",01/AEIV/2026-27 Lot 07,2026_UPIDC_1151457_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical,649.0,Nil,Nil,No,ASSISTANT ENGINEER IV SSK36 JAUNPUR,ASSISTANT ENGINEER IV SSK36 JAUNPUR,23-May-2026 11:00 AM,30-May-2026 02:00 PM,23-May-2026 11:00 AM,30-May-2026 01:00 PM,NA ,NA ,23-May-2026 11:00 AM,30-May-2026 01:00 PM,01-Jun-2026 09:00 AM,"1,540",Yes,fixed,,Nil,Nil,1.0,SBI Bank,EARTH WORK IN CLEARANCE OF NISHAN DRAIN FROM KM. 0.000 TO KM. 2.000,EARTH WORK IN CLEARANCE OF NISHAN DRAIN FROM KM. 0.000 TO KM. 2.000,Please refer Tender documents. ,NA ,"77,000",Civil Works,NA ,Tender,90.0,10.0,ASSISTANT ENGINEER IV SSK36 JAUNPUR,222002.0,NA ,NA ,NA ,ASSISTANT ENGINEER IV SSK36 JAUNPUR,No ,No,AOC,NARSINGH RAM,Internal,,Narsingh Ram,29-Jun-2026 02:26 PM,finsummary_2156781.pdf (199.71 KB),Technical,ok,Narsingh Ram,31-May-2026 02:52 PM,technical_2156781.pdf,NARSINGH RAM,Internal,,Narsingh Ram,31-May-2026 03:56 PM,01-Jun-2026 09:00 AM,techsummary_2156781.pdf (196.12 KB),Finance,ok,Narsingh Ram,29-Jun-2026 02:25 PM,finance_2156781.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD - 36 Jaunpur",2026_UPIDC_1151457_1,01/AEIV/2026-27 Lot 07,EARTH WORK IN CLEARANCE OF NISHAN DRAIN FROM KM. 0.000 TO KM. 2.000,1.0,6153642.0,M/S UDAI CONSTRUCTION,INR,"52,736.25",1,6152799,KAMAL NARAYAN SINGH,29-May-2026 08:48 PM,Rejected-Finance,L2,29-Jun-2026 02:26 PM,29-Jun-2026,"INR 52,736.25",10.0,Narsingh Ram,29-Jun-2026 02:29 PM,7.pdf (392.00 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6153642,M/S UDAI CONSTRUCTION,30-May-2026 10:07 AM,Accepted-AOC,L1,29-Jun-2026 02:29 PM,,,,,,,AOC
