Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_7,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Chakia ke Gram Panchayat Karvadiya me prathmik vidyalay se Ishwari Sharan Singh ke ghar tak CC road nirman karya.,1.0,6083973.0,M/S SWARA ENTERPRISES,INR,"1,686,097",1,6083973,M/S SWARA ENTERPRISES,03-May-2026 02:51 PM,Accepted-AOC,1st Lowest,09-Jun-2026 03:19 PM,05-Jun-2026,"INR 1,686,097",90.0,Aniruddh Kumar Yadav,09-Jun-2026 03:19 PM,karvadiya.pdf (432.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,07-May-2026 10:00 AM,13-May-2026 11:00 AM,techsummary_2125876.pdf (436.28 KB),Finance,Bids received,Aniruddh Kumar Yadav,13-May-2026 05:36 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chanduali,Aniruddh Kumar Yadav,18-May-2026 06:02 PM,finsummary_2125876.pdf (658.38 KB),Technical,Bids received,Aniruddh Kumar Yadav,07-May-2026 09:57 AM,,AOC,1,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,EE RED Chandauli,EE RED Chandauli,"33,900",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Apr-2026 11:00 AM,04-May-2026 12:30 PM,18-Apr-2026 11:00 AM,04-May-2026 12:00 PM,NA ,NA ,18-Apr-2026 11:00 AM,04-May-2026 12:00 PM,13-May-2026 11:00 AM,"1,104",Nil,Nil,No,Vikas Khand Chakia ke Gram Panchayat Karvadiya me prathmik vidyalay se Ishwari Sharan Singh ke ghar tak CC road nirman karya.,Vikas Khand Chakia ke Gram Panchayat Karvadiya me prathmik vidyalay se Ishwari Sharan Singh ke ghar tak CC road nirman karya.,Please refer Tender documents. ,NA ,"16,94,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Chakia,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,1.0,SBI Bank,AOC
,,,,,,,,,2,6083997,RAGHUVANSHI CONSTRUCTION,03-May-2026 02:00 PM,Rejected-Finance,2nd bidder,18-May-2026 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
