Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
03-Jun-2026,"INR 2,337,410.46",180.0,Tarun Chaturvedi,03-Jun-2026 04:15 PM,DOS.pdf (453.00 KB),Completed,1,5970361,rathore construction company,14-Mar-2026 01:04 PM,Accepted-AOC,Due to quoted Lowest Price,03-Jun-2026 04:16 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-26 Saharanpur,2026_UPPRC_1117866_2,10/PCL/PM-26/SRE/2025-26,"CONSTRUCTION OF SUB CENTER PATHLOKAR, BLOCK-MUZAFFARABAD IN DISTRICT SAHARANPUR UP",1.0,5970361.0,rathore construction company,INR,"2,337,410.46",Finance,Comparative,Tarun Chaturvedi,28-Mar-2026 04:37 PM,finance_2093094.pdf,BOQ Comparative Chart,Project Manager UPPCL Unit-26,Internal,"Project Manager UPPCL Unit-33, Accountant Unit-26,",Tarun Chaturvedi,25-Mar-2026 03:35 PM,25-Mar-2026 04:00 PM,techsummary_2093094.pdf (1042.04 KB),Technical,Comparative,Tarun Chaturvedi,25-Mar-2026 03:32 PM,technical_2093094.pdf,Project Manager UPPCL Unit-26,Internal,"Project Manager UPPCL Unit-33, Accountant Unit-26,",Tarun Chaturvedi,28-Mar-2026 04:42 PM,finsummary_2093094.pdf (1042.04 KB),AOC,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida||Unit-26 Saharanpur,10/PCL/PM-26/SRE/2025-26,2026_UPPRC_1117866_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,"5,900",Nil,Nil,No,1.0,SBI Bank,Project Manager,UPPCL Unit-26,"CONSTRUCTION OF SUB CENTER PATHLOKAR, BLOCK-MUZAFFARABAD IN DISTRICT SAHARANPUR UP","CONSTRUCTION OF SUB CENTER PATHLOKAR, BLOCK-MUZAFFARABAD IN DISTRICT SAHARANPUR UP",Please refer Tender documents. ,NA ,"23,50,337",Civil Works,NA ,Tender,90.0,90.0,Saharanpur,247001.0,NA ,NA ,NA ,Saharanpur,No ,No,"56,000",Yes,fixed,,Nil,Nil,11-Mar-2026 09:00 AM,17-Mar-2026 02:00 PM,11-Mar-2026 09:00 AM,17-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 10:00 AM,17-Mar-2026 12:00 PM,25-Mar-2026 04:00 PM,AOC
,,,,,,,2,5974451,uma devi,15-Mar-2026 01:53 PM,Rejected-Finance,Due to quoted Highest Rate,28-Mar-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
