Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,15-May-2026 05:17 PM,20-May-2026 12:30 PM,techsummary_2130372.pdf (259.91 KB),02-Jun-2026,"INR 2,579,834",90.0,Chaman Srivastava,02-Jun-2026 04:08 PM,Tejpura_hanumanji.pdf (421.00 KB),FINAL,Technical,FINAL,Chaman Srivastava,15-May-2026 05:14 PM,,Finance,FINAL,Chaman Srivastava,02-Jun-2026 04:04 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,02-Jun-2026 04:06 PM,finsummary_2130372.pdf (420.89 KB),1.0,6068849.0,DENESH KUMAR SEHGAL,INR,"2,579,834",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1140375_10,3781/EE/RED/Tender/2025-26 Dt. 14.03.2026,Gram Tejpura Block Bangra mai Hanuman ji Mandir ke samip sarvjanik shed ka nirman,1,6070284,BALAJI CONSTRUCTION,28-Apr-2026 05:08 PM,Rejected-Finance,N,02-Jun-2026 04:06 PM,AOC,EE RED Jhansi,EE RED Jhansi,"2,354",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,3781/EE/RED/Tender/2025-26 Dt. 14.03.2026,2026_REDUP_1140375_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,sbd,"51,000",Yes,fixed,,Nil,Nil,Gram Tejpura Block Bangra mai Hanuman ji Mandir ke samip sarvjanik shed ka nirman,Gram Tejpura Block Bangra mai Hanuman ji Mandir ke samip sarvjanik shed ka nirman,Please refer Tender documents. ,NA ,"25,13,000",Civil Works,NA ,Tender,90.0,90.0,Gram Tejpura Block Bangra mai Hanuman ji Mandir ke,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,23-Apr-2026 02:00 PM,30-Apr-2026 03:30 PM,23-Apr-2026 02:00 PM,30-Apr-2026 12:00 PM,NA ,NA ,23-Apr-2026 02:00 PM,30-Apr-2026 12:00 PM,20-May-2026 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6068849,DENESH KUMAR SEHGAL,28-Apr-2026 06:01 PM,Accepted-AOC,Y,02-Jun-2026 04:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
