S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,RTGS - RTGS Payment,"2,450",Nagar Panchayat Pipiganj,Gorakhpur,No,15-Apr-2026 05:00 PM,24-Apr-2026 03:00 PM,15-Apr-2026 05:00 PM,24-Apr-2026 03:00 PM,NA ,NA ,15-Apr-2026 05:00 PM,24-Apr-2026 03:00 PM,30-Apr-2026 12:30 PM,Executive Officer,Nagar Panchayat Pipiganj Gorakhpur,1.0,Fee/PreQual/Technical,.pdf,nit,Ward No. 6 me Covered RCC evam CC Road karya,Ward No. 6 me Covered RCC evam CC Road karya,Please refer Tender documents. ,NA ,"24,72,000",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Pipiganj Gorakhpur,273165.0,NA ,NA ,NA ,Nagar Panchayat Pipiganj,No ,No,"2,47,200",No,percentage,10.0%,Nagar Panchayat Pipiganj,Gorakhpur,1.0,Suchana,Other,,Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,63_NP Pipiganj_13.04-2026,2026_DOLBU_1136757_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,3 Bids,Anjneya Mishra,08-May-2026 12:53 PM,finance_2122708.pdf,BOQ Comparative Chart,Anjaneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,30-Apr-2026 12:16 PM,30-Apr-2026 12:30 PM,techsummary_2122708.pdf (1429.25 KB),Technical,3 Bids,Anjneya Mishra,30-Apr-2026 11:45 AM,technical_2122708.pdf,Anjaneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,08-May-2026 02:00 PM,finsummary_2122708.pdf (2179.99 KB),29-May-2026,"INR 2,469,775.2",90.0,Anjneya Mishra,09-Jun-2026 10:36 AM,6vkcm15.pdf (423.00 KB),VK Construction,1,6065326,CHAUDHARY CONSTRUCTION,23-Apr-2026 09:44 PM,Rejected-Finance,L3,08-May-2026 02:00 PM,1.0,6064925.0,V K CONSTRUCTION,INR,"2,469,775.2",Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,2026_DOLBU_1136757_6,63_NP Pipiganj_13.04-2026,Ward No. 6 me Covered RCC evam CC Road karya,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6065045,NIRMLA ASSOCIATES,23-Apr-2026 06:50 PM,Rejected-Finance,L2,08-May-2026 02:00 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6064925,V K CONSTRUCTION,23-Apr-2026 05:55 PM,Accepted-AOC,L1,09-Jun-2026 10:36 AM,,,,,,,,,,AOC
