Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
30-May-2026,"INR 1,885,561",30.0,Yogendra Singh,01-Jun-2026 03:16 PM,ward7pipeline.pdf (1085.00 KB),AOC,1,5986038,Chavi Consturction,18-Mar-2026 06:06 PM,Rejected-AOC,L3,01-Jun-2026 03:17 PM,1.0,5986906.0,laxmicontruction,INR,"1,885,561",Directorate of Local Bodies UP||Nagar Panchayat Fatehabad Agra,2026_DOLBU_1123864_1,342/NPF/2025-26,Ward No 07 Me Shyam Halwai Keshav Kunj pipe line dalne ka kary.,Technical,technical Summary,Yogendra Singh,09-Apr-2026 10:58 AM,technical_2094111.pdf,EO,Internal,JE CLERK,Yogendra Singh,05-May-2026 11:50 AM,finsummary_2094111.pdf (1084.51 KB),Finance,financial summary,Yogendra Singh,05-May-2026 11:40 AM,finance_2094111.pdf,BOQ Comparative Chart,EO,Internal,JE CLERK,Yogendra Singh,09-Apr-2026 01:27 PM,09-Apr-2026 01:30 PM,techsummary_2094111.pdf (392.10 KB),AOC,11-Mar-2026 04:30 PM,19-Mar-2026 03:00 PM,11-Mar-2026 04:30 PM,19-Mar-2026 02:00 PM,NA ,NA ,11-Mar-2026 04:30 PM,19-Mar-2026 02:00 PM,09-Apr-2026 01:30 PM,"38,000",No,fixed,,Executive Officer,NP Fatehabad,EXECUTIVE OFFICER,NP FATEHABAD,Ward No 07 Me Shyam Halwai Keshav Kunj pipe line dalne ka kary.,Ward No 07 Me Shyam Halwai Keshav Kunj pipe line dalne ka kary.,Please refer Tender documents. ,NA ,"18,97,520",Civil Works - Water Works,NA ,Tender,90.0,30.0,NP FATEHABAD,283111.0,NA ,NA ,NA ,NP FATEHABAD,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Fatehabad Agra,342/NPF/2025-26,2026_DOLBU_1123864_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,"2,300",Executive Officer,NP Fatehabad,No,1.0,Fee/PreQual/Technical,.pdf,nit,AOC
,,,,,,,2,5986906,laxmicontruction,18-Mar-2026 10:23 PM,Accepted-AOC,L1,01-Jun-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,2.0,Finance,.xls,boq,AOC
,,,,,,,3,5985245,S.RAJ INFRASEC PLANEERS LLP,18-Mar-2026 02:20 PM,Rejected-AOC,L2,01-Jun-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
