Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Er. Bharat Ram,Internal,,Bharat Ram,05-Mar-2026 09:50 PM,06-Mar-2026 12:00 PM,techsummary_2069647.pdf (548.60 KB),10-Mar-2026,"INR 1,431,744.3",20.0,Bharat Ram,16-Jun-2026 04:12 PM,lot17.pdf (365.00 KB),Technical,Attached,Bharat Ram,02-Mar-2026 09:29 PM,,Finance,Attached,Bharat Ram,10-Mar-2026 01:59 PM,,BOQ Comparative Chart,Er. Bharat Ram,Internal,,Bharat Ram,10-Mar-2026 02:01 PM,finsummary_2069647.pdf (83.83 KB),1.0,5893913.0,Ms Ram Nath Shukla Contractor,INR,"1,431,744.3",1,5901746,AJIT SINGH,20-Feb-2026 12:57 PM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",2026_UPIDC_1112264_35,15/EE/2025-26,Earth Work for desilting of Khair Drain From Km. 0.000 to km. 4.000 in Distt- Balrampur,AOC,Earth Work for desilting of Khair Drain From Km. 0.000 to km. 4.000 in Distt- Balrampur,As Per Tender Notice,As Per Tender Notice ,NA ,"33,87,000",Civil Works,NA ,Tender,90.0,20.0,Balrampur,271201.0,NA ,NA ,NA ,Balrampur,No ,No,"68,000",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,Executive Engineer,Flood Division Balrampur,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",15/EE/2025-26,2026_UPIDC_1112264_35,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,13-Feb-2026 10:00 AM,20-Feb-2026 03:00 PM,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,06-Mar-2026 12:00 PM,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5893681,KOSIS ENTERPRISES,18-Feb-2026 06:03 PM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5896258,LALTA PRASAD MAURYA,20-Feb-2026 11:56 AM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5901349,Ms A S Construction,20-Feb-2026 12:11 PM,Rejected-Finance,L2,10-Mar-2026 02:01 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5901584,M/S CHANDA CONSTRUCTION,20-Feb-2026 01:10 PM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5891891,M/S RADHIKA CONSTRUCTION COMPANY,20-Feb-2026 01:52 AM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5895986,M/S RAJESH CONSTRUCTION,19-Feb-2026 11:41 AM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5893913,Ms Ram Nath Shukla Contractor,20-Feb-2026 01:18 PM,Accepted-AOC,L1,16-Jun-2026 04:12 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5879913,M/S RUCHI CONSTRUCTION CO,20-Feb-2026 12:05 PM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5898052,VINAY PRAKASH SHUKLA,20-Feb-2026 12:01 PM,Rejected-Technical,Technical Bid Not Qualified,05-Mar-2026 09:50 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
