Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-Jun-2026,"INR 2,681,796",90.0,Puneet Kumar,30-Jun-2026 06:07 PM,b8.pdf (258.00 KB),L1,1,6088606,MANORAMA CONSTRUCTION,04-May-2026 07:28 PM,Rejected-Finance,L2,12-Jun-2026 11:59 AM,1.0,6080775.0,R V VENTURES,INR,"2,681,796",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,2026_REDUP_1139354_4,33 date 02.04.2026,BHUDKUDA ME PICH ROAD SE ANUSUCHIT BASTI TAK ENTERLOCKING KARY,Finance,open,Puneet Kumar,11-Jun-2026 06:56 PM,finance_2127118.pdf,BOQ Comparative Chart,EE,Internal,AE DAO,Puneet Kumar,30-May-2026 08:45 PM,05-Jun-2026 01:00 PM,techsummary_2127118.pdf (106.90 KB),Technical,open,Puneet Kumar,05-May-2026 04:20 PM,technical_2127118.pdf,EE,Internal,AE DAO,Puneet Kumar,12-Jun-2026 11:59 AM,finsummary_2127118.pdf (380.21 KB),AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,33 date 02.04.2026,2026_REDUP_1139354_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,20-Apr-2026 03:00 PM,05-May-2026 12:30 PM,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,NA ,NA ,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,05-Jun-2026 01:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,fee and document,1.0,date,Date,,"45,500",Yes,percentage,2.0%,Nil,Nil,E.E. R.E.D. GHAZIPUR,OFFICE E.E. R.E.D. GHAZIPUR,BHUDKUDA ME PICH ROAD SE ANUSUCHIT BASTI TAK ENTERLOCKING KARY,BHUDKUDA ME PICH ROAD SE ANUSUCHIT BASTI TAK ENTERLOCKING KARY,Please refer Tender documents. ,NA ,"22,75,000",Civil Works,NA ,Tender,90.0,90.0,GHAZIPUR,233001.0,NA ,NA ,NA ,OFFICE E.E. R.E.D. GHAZIPUR,No ,No,854.0,Nil,Nil,No,AOC
,,,,,,,2,6083349,M/S DIVYANSH CONSTRUCTION,02-May-2026 02:46 PM,Rejected-Finance,L3,12-Jun-2026 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,6089579,M/S GAUTAM ENTERPRISES,05-May-2026 09:43 AM,Rejected-Technical,NONRESPONSIVE,30-May-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,6080775,R V VENTURES,02-May-2026 05:34 PM,Accepted-AOC,L1,30-Jun-2026 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
