Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er Narendra Chaudhry,Internal,,Narendra chaudhary,22-May-2026 04:37 PM,22-May-2026 04:40 PM,techsummary_2134597.pdf (466.08 KB),Technical,Summary,Narendra chaudhary,22-May-2026 04:35 PM,technical_2134597.pdf,20-Jun-2026,"INR 2,617,022.37",90.0,Narendra chaudhary,20-Jun-2026 02:20 PM,Bihari0004.pdf (1003.00 KB),l1,1,6082449,M/S LAKSHMI SHANKAR,02-May-2026 04:36 PM,Rejected-AOC,l2,20-Jun-2026 02:20 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1142669_67,59/RED/Tender/Unnao/26-27 Dt-06-04-2026,Langadhapur Link Marg ke Pass Bharose ke Darwaje se Bihari ke Darwaje tak. Vikash Khand- Purwa,Er Narendra Chaudhry,Internal,,Narendra chaudhary,20-Jun-2026 02:18 PM,finsummary_2134597.pdf (1003.27 KB),Finance,Summary,Narendra chaudhary,20-Jun-2026 02:16 PM,finance_2134597.pdf,BOQ Comparative Chart,1.0,6082058.0,M/S RAHUL PRATAP SINGH,INR,"2,617,022.37",AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,59/RED/Tender/Unnao/26-27 Dt-06-04-2026,2026_REDUP_1142669_67,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,28-Apr-2026 09:00 AM,04-May-2026 12:30 PM,28-Apr-2026 09:00 AM,04-May-2026 12:00 PM,NA ,NA ,28-Apr-2026 09:00 AM,04-May-2026 12:00 PM,22-May-2026 04:40 PM,Langadhapur Link Marg ke Pass Bharose ke Darwaje se Bihari ke Darwaje tak. Vikash Khand- Purwa,Langadhapur Link Marg ke Pass Bharose ke Darwaje se Bihari ke Darwaje tak. Vikash Khand- Purwa,Plz Refer Doc ,NA ,"26,38,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,"2,384",Nil,Nil,No,1.0,SBI Bank,Er Narendra Chaudhary,Vikas Bhawan Unnao,"53,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,2,6082058,M/S RAHUL PRATAP SINGH,02-May-2026 12:09 PM,Accepted-AOC,l1,20-Jun-2026 02:20 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
