Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,416",Nil,Nil,No,1.0,SBI Bank,CE,Ghaziabad Nagar Nigam,"16,358",No,percentage,3.0%,Nil,Nil,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_26,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,20-May-2026 12:00 PM,"Construction of RCC drain in front of M.No. 136, Ward-88, New Gandhinagar.","Construction of RCC drain in front of M.No. 136, Ward-88, New Gandhinagar.",Please refer Tender documents. ,NA ,"5,45,250",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,AOC,1,6077717,JP SHAKTI CONSTRUCTION,29-Apr-2026 08:26 PM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_26,116/Nirman/2026-27 Date 04.04.2026,"Construction of RCC drain in front of M.No. 136, Ward-88, New Gandhinagar.",1.0,6079745.0,Sarthak construction,INR,"463,462",ce,Internal,,Kuldeep Kumar Tamar,09-Jun-2026 04:00 PM,finsummary_2121890.pdf (339.50 KB),Finance,Finance,narendra kumar chaudhary,21-May-2026 04:03 PM,,BOQ Comparative Chart,Technical,Technical,Kuldeep Kumar Tamar,30-Apr-2026 05:38 PM,,09-Jun-2026,"INR 463,462",15.0,Kuldeep Kumar Tamar,09-Jun-2026 04:07 PM,26116.pdf (338.00 KB),CE,Internal,,Kuldeep Kumar Tamar,19-May-2026 01:15 PM,20-May-2026 12:00 PM,techsummary_2121890.pdf (448.57 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,6069486,M/S AAKRITI CONSTRUCTIONS,26-Apr-2026 06:45 AM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,6063023,M/S BHARAT INFRA HUF,22-Apr-2026 03:40 PM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,6072800,M/S GAUD AND CONSTRUCTION COMPNAY,27-Apr-2026 07:04 PM,Rejected-Technical,all requried not complete,19-May-2026 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,6078701,M/S PRAKSH CONSTRUCTION COMPANY,29-Apr-2026 07:08 PM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,6077425,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,30-Apr-2026 10:29 AM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,6080128,M/S SHIV CONSTRUCTION,30-Apr-2026 02:40 PM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,6079745,Sarthak construction,30-Apr-2026 12:59 PM,Accepted-AOC,L1,09-Jun-2026 04:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,6075029,SHREE BALAJI ENTERPRISES / DHRUV SHARMA,28-Apr-2026 03:33 PM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,6078488,SIDDH CONSTRUCTION COMPANY,29-Apr-2026 07:56 PM,Rejected-Finance,L2,09-Jun-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
