Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"14,59,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,"2,360",Nil,Nil,No,11-Apr-2026 05:00 PM,22-Apr-2026 11:00 AM,11-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,NA ,NA ,11-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,21-May-2026 01:25 PM,EE,NAGAR NIGAM ALIGARH,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(238)/NNA/2025-26,2026_DOLBU_1116622_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,46,000",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC,Finance,ok,Rajesh Kumar,02-Jun-2026 06:44 PM,,BOQ Comparative Chart,CE,Internal,EE,Danish Haider Naqvi,21-May-2026 01:20 PM,21-May-2026 01:25 PM,techsummary_2121013.pdf (193.40 KB),Technical,All Documents Completed,Rajvir Singh,21-May-2026 11:50 AM,technical_2121013.pdf,ce,Internal,ee,Rajesh Kumar,02-Jun-2026 07:18 PM,finsummary_2121013.pdf (255.30 KB),18-Jun-2026,"INR 1,447,328",30.0,Rajvir Singh,18-Jun-2026 03:00 PM,cammetti.pdf (193.00 KB),ok,1.0,6061383.0,SAEEDA FAIZ CONTRACTOR,INR,"1,447,328",Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116622_2,6269(238)/NNA/2025-26,NIRMAN WORK,1,6061472,M/S NARENDRA PAL SINGH CONTRACTOR,21-Apr-2026 03:11 PM,Rejected-Finance,ok,02-Jun-2026 07:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6061383,SAEEDA FAIZ CONTRACTOR,21-Apr-2026 02:21 PM,Accepted-AOC,ok,18-Jun-2026 02:59 PM,AOC
