S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
1.0,6015424.0,M/S BABA ANANDESWAR SUPPLIERS,INR,"842,997","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1129643_1,1466/AA-2/25-26,Laying of interlocking tiles in front of SRD tyre shop in ward 58 zone02,1,6015424,M/S BABA ANANDESWAR SUPPLIERS,28-Mar-2026 09:47 AM,Accepted-AOC,AOC,30-Jun-2026 07:53 PM,15-May-2026,"INR 842,997",45.0,DIVAKAR BHASKAR,30-Jun-2026 07:53 PM,1129643babaanandeshwarsuppliers.pdf (656.00 KB),AOC,Finance,M/S BABA ANANDESWAR SUPPLIERS,DIVAKAR BHASKAR,30-Mar-2026 07:03 PM,,BOQ Comparative Chart,CE,Internal,,DIVAKAR BHASKAR,30-Mar-2026 07:51 PM,finsummary_2107179.pdf (194.18 KB),CE,Internal,CE,DIVAKAR BHASKAR,30-Mar-2026 07:47 PM,techsummary_2107179.pdf (194.18 KB),AOC,24-Mar-2026 01:00 PM,28-Mar-2026 04:00 PM,24-Mar-2026 01:00 PM,28-Mar-2026 03:00 PM,NA ,NA ,24-Mar-2026 01:00 PM,28-Mar-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,"Kanpur Municipal Corporation, Kanpur, UP",1466/AA-2/25-26,2026_NNKAN_1129643_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,Laying of interlocking tiles in front of SRD tyre shop in ward 58 zone02,Laying of interlocking tiles in front of SRD tyre shop in ward 58 zone02,Please refer Tender documents. ,NA ,"9,92,199",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,"99,220",No,percentage,10.0%,Nil,Nil,"1,180",Nil,Nil,No,1.0,SBI Bank,"CHIEF ENGINEER, KMC",MOtijheel,AOC
,,,,,,,,,2,6015462,M/s Jyotsana Enterprises,28-Mar-2026 10:05 AM,Rejected-Finance,L2,30-Mar-2026 07:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
