S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,SBI Bank,PROJECT MANAGER,"Indra Puri Near Police Chauki, Bhola Kheda Lucknow",CONSTRUCTION OF ADDITIONAL DORMITORY HALL BUILDING FOR KASTURBA GANDHI BALIKA VIDYALAYA AT MADHOGANJ DISTRICT- HARDOI (U.P),CONSTRUCTION OF ADDITIONAL DORMITORY HALL BUILDING FOR KASTURBA GANDHI BALIKA VIDYALAYA AT MADHOGANJ DISTRICT- HARDOI (U.P),Please refer Tender documents. ,NA ,"24,97,000",Civil Works,NA ,Tender,30.0,180.0,HARDOI,241302.0,NA ,NA ,NA ,LUCKNOW,No ,No,"50,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,25-Apr-2026 02:52 PM,06-May-2026 04:00 PM,25-Apr-2026 11:00 AM,06-May-2026 03:00 PM,NA ,NA ,25-Apr-2026 11:00 AM,06-May-2026 03:00 PM,21-May-2026 11:00 AM,"5,900",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-08 Lucknow,06/PCL/PM/UNIT-8/2026-27/Dated 24-04-2026,2026_UPPRC_1141571_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,SUMMARY,Arvind Kumar Debey,19-Jun-2026 01:13 PM,finance_2131942.pdf,BOQ Comparative Chart,PROJECT MANAGER,Internal,PM UNIT 8 PM UNIT 14 UPPCL LUCKNOW ACCTT UNIT 8 UPPCL LKO,Vinay Kumar Jain,20-May-2026 06:30 PM,21-May-2026 11:00 AM,techsummary_2131942.pdf (1148.63 KB),Technical,Technical committee report,Vinay Kumar Jain,20-May-2026 06:26 PM,technical_2131942.pdf,PROJECT MANAGER,Internal,pm 8 and pm 14 uppcl lucknow acctt uppcl unit8 lucknow.,VINAY KUMAR JAIN,19-Jun-2026 01:41 PM,finsummary_2131942.pdf (411.98 KB),19-Jun-2026,"INR 2,474,822",180.0,VINAY KUMAR JAIN,19-Jun-2026 02:07 PM,madhoganj.pdf (691.00 KB),aoc,1,6081434,B K TRADERS,04-May-2026 10:11 AM,Accepted-AOC,Accepted,19-Jun-2026 02:07 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-08 Lucknow,2026_UPPRC_1141571_1,06/PCL/PM/UNIT-8/2026-27/Dated 24-04-2026,CONSTRUCTION OF ADDITIONAL DORMITORY HALL BUILDING FOR KASTURBA GANDHI BALIKA VIDYALAYA AT MADHOGANJ DISTRICT- HARDOI (U.P),1.0,6081434.0,B K TRADERS,INR,"2,474,822",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6088971,MS E.S COTRACTORS,05-May-2026 09:19 PM,Rejected-AOC,Accepted,19-Jun-2026 02:07 PM,,,,,,,,,,AOC
