Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
18-Jun-2026,"INR 4,647,488.3",120.0,Dinesh Singh,28-Jun-2026 08:29 PM,Ganjan_pura_Amar.pdf (196.00 KB),AOC,1,6140410,SANTOSH SINGH GEHLOTH,25-May-2026 07:41 PM,Accepted-AOC,AOC,28-Jun-2026 08:29 PM,1.0,6140410.0,SANTOSH SINGH GEHLOTH,INR,"4,647,488.3",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,2026_REDUP_1150633_6,02/ SERED 2026-27 DT01-04-2026,Vikaas khand pinaahat ke graam gnjanapuraa men ameer sinh kee CC se lekar surendr sinh ke ghar hote huye mukhy maarg tak CC nirmaan kaary.,Technical,Technical,Dinesh Singh,29-May-2026 01:57 PM,,SE RED,Internal,,Dinesh Singh,17-Jun-2026 05:44 PM,finsummary_2154863.pdf (60.31 KB),Finance,financial,Dinesh Singh,16-Jun-2026 02:51 PM,,BOQ Comparative Chart,SERED,Internal,,Dinesh Singh,12-Jun-2026 06:40 PM,15-Jun-2026 12:00 PM,techsummary_2154863.pdf (108.85 KB),AOC,"2,354",Nil,Nil,No,"94,000",Yes,fixed,,Nil,Nil,SE RED AGRA,SE RED AGRA,1,Fee/PreQual/Technical,.pdf,SBD,Vikaas khand pinaahat ke graam gnjanapuraa men ameer sinh kee CC se lekar surendr sinh ke ghar hote huye mukhy maarg tak CC nirmaan kaary.,Vikaas khand pinaahat ke graam gnjanapuraa men ameer sinh kee CC se lekar surendr sinh ke ghar hote huye mukhy maarg tak CC nirmaan kaary.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,AGRA,282002.0,NA ,NA ,NA ,SE RED AGRA,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,02/ SERED 2026-27 DT01-04-2026,2026_REDUP_1150633_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-May-2026 10:00 AM,28-May-2026 02:30 PM,21-May-2026 10:00 AM,28-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,28-May-2026 12:00 PM,15-Jun-2026 12:00 PM,1.0,SBI Bank,AOC
,,,,,,,2,6137108,TANYA CONSTRUCTION,26-May-2026 01:47 PM,Rejected-Finance,L2,17-Jun-2026 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
