Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
27-Jun-2026,"INR 735,120.46",90.0,Bajrang Prasad,27-Jun-2026 10:53 AM,FP.pdf (327.00 KB),1.0,6079818.0,M I CONSTRUCTION,INR,"735,120.46",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly||Unit-6 Bareilly,2026_UPPRC_1142046_3,01/PCL/P.M./UNIT-6/BLY/2026-27,REPAIR AND RENOVATION WORK OF BIOFERTILIZER LABORATORIES AT D D OFFICE RESEARCH BAREILLY (U.P.),1,6079818,M I CONSTRUCTION,01-May-2026 11:49 AM,Accepted-AOC,LOWEST 1,27-Jun-2026 10:53 AM,Finance,COMPRATIVE STATEMENT FINANCIAL,Bajrang Prasad,27-Jun-2026 10:46 AM,finance_2133014.pdf,BOQ Comparative Chart,PROJECT MANAGER,Internal,,Bajrang Prasad,05-May-2026 05:03 PM,05-May-2026 05:30 PM,techsummary_2133014.pdf (999.62 KB),Technical,COMPRATIVE STATEMENT,Bajrang Prasad,05-May-2026 04:54 PM,technical_2133014.pdf,PROJECT MANAGER,Internal,,Bajrang Prasad,27-Jun-2026 10:48 AM,finsummary_2133014.pdf (999.62 KB),AOC,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly||Unit-6 Bareilly,01/PCL/P.M./UNIT-6/BLY/2026-27,2026_UPPRC_1142046_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Project Manager,"PROJECT MANAGER, UNIT-6, U.P. PROJECTS CORPORATION LTD. Unit Office-14, CHANDRA SHEKHAR NAGAR COLONY,TULASHERPUR, BAREILLY","15,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"3,540",Nil,Nil,No,1.0,SBI Bank,REPAIR AND RENOVATION WORK OF BIOFERTILIZER LABORATORIES AT D D OFFICE RESEARCH BAREILLY (U.P.),REPAIR AND RENOVATION WORK OF BIOFERTILIZER LABORATORIES AT D D OFFICE RESEARCH BAREILLY (U.P.),REPAIR AND RENOVATION WORK OF BIOFERTILIZER LABORATORIES AT D D OFFICE RESEARCH BAREILLY (U.P.) ,NA ,"7,38,815",Civil Works,NA ,Tender,90.0,90.0,Bareilly,243122.0,NA ,NA ,NA ,Bareilly,No ,No,27-Apr-2026 10:00 AM,02-May-2026 03:00 PM,27-Apr-2026 11:00 AM,02-May-2026 01:00 PM,NA ,NA ,27-Apr-2026 11:00 AM,02-May-2026 01:00 PM,05-May-2026 05:30 PM,AOC
,,,,,,,,,,,,,,,2,6078670,RUDRA CONSTUCTION,30-Apr-2026 08:10 PM,Rejected-Finance,FINANCIAL BID OPEN,27-Jun-2026 10:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
