Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,479/LIGHT/2025-26 DT 20-03-2026,2026_DOLBU_1131743_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,30-Mar-2026 06:00 PM,06-Apr-2026 04:00 PM,30-Mar-2026 06:00 PM,06-Apr-2026 03:00 PM,NA ,NA ,30-Mar-2026 06:00 PM,06-Apr-2026 03:00 PM,29-Apr-2026 06:00 PM,Work no 13 Ghaziabad Nagar Nigam simantargat vibhinn sthalo par 18 watt LED solar street light adhisthapan ka karya,Work no 13 Ghaziabad Nagar Nigam simantargat vibhinn sthalo par 18 watt LED solar street light adhisthapan ka karya,"Tender Fee, EMD and Other Documents as per Tender Document/NIT  ",NA ,"3,99,78,800",Electrical Works,NA ,Tender,90.0,0.0,Ghaziabad Nagar Nigam,201001.0,NA ,NA ,NA ,AMC Office 5th Floor Ghaziabad nagar nigam,No ,No,"19,99,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"Tender Fee, EMD and Other Documents as per Tender Document/NIT","6,000",Nil,Nil,No,1.0,SBI Bank,Prakash Prabhari,Ghaziabad Nagar Nigam,AOC,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1131743_13,479/LIGHT/2025-26 DT 20-03-2026,Work no 13 Ghaziabad Nagar Nigam simantargat vibhinn sthalo par 18 watt LED solar street light adhisthapan ka karya,1,6026941,lords mark Industries Pvt Ltd,06-Apr-2026 01:32 PM,Rejected-Technical,Reject,29-Apr-2026 05:53 PM,Finance,Bids_are_under_Evaluation_at_Tender_Cell.PDF,Somendra Pratap Singh,29-Apr-2026 06:34 PM,finance_2112134.pdf,BOQ Comparative Chart,Committee Members,Internal,Committee Members,Somendra Pratap Singh,04-Jun-2026 01:02 PM,finsummary_2112134.pdf (1000.93 KB),1.0,6032555.0,M/S KOSHER CONSTRUCTION PVT. LTD.,INR,"37,951,874.84",Technical,Bids_are_under_Evaluation_at_Tender_Cell.PDF,Somendra Pratap Singh,06-Apr-2026 06:51 PM,technical_2112134.pdf,04-Jun-2026,"INR 37,951,874.84",3.0,Somendra Pratap Singh,04-Jun-2026 01:04 PM,AOC_06.pdf (1001.00 KB),L1,All Committee Members,Internal,Committee Members,Mayank Mishra,29-Apr-2026 05:53 PM,29-Apr-2026 06:00 PM,techsummary_2112134.pdf (5592.06 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,2,6032555,M/S KOSHER CONSTRUCTION PVT. LTD.,06-Apr-2026 01:26 PM,Accepted-AOC,L1,04-Jun-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
