Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
23-Jun-2026,"INR 2,100,602",180.0,Vishnoo Kumar,23-Jun-2026 05:14 PM,BonPavsra.pdf (853.00 KB),1,6081394,KHALID CONTRACTOR,01-May-2026 08:29 AM,Rejected-Finance,L2,23-Jun-2026 04:35 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1135117_1,1843/RED/Tender/ 2025-26/Dt 31/03/26,Village Pavsara CC road construction work from Tejveer house to Pratap house,1.0,6081379.0,M/S SHARMA CONTRACTOR,INR,"2,100,602",Finance,Pavsara,Vishnoo Kumar,23-Jun-2026 04:26 PM,finance_2119233.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,16-May-2026 04:10 PM,19-May-2026 12:00 PM,techsummary_2119233.pdf (539.62 KB),Technical,Pavsra,Vishnoo Kumar,16-May-2026 04:08 PM,technical_2119233.pdf,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,22-Jul-2026 04:39 PM,finsummary_2119233.pdf (60.48 KB),AOC,16-Apr-2026 12:00 PM,02-May-2026 04:00 PM,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,19-May-2026 12:00 PM,Village Pavsara CC road construction work from Tejveer house to Pratap house,Village Pavsara CC road construction work from Tejveer house to Pratap house,Please refer Tender documents. ,NA ,"21,07,000",Civil Works,NA ,Tender,90.0,180.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,30-Apr-2026 11:00 AM ,EE RED BSR,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1843/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1135117_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"43,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,EE RED BSR,EE RED BSR,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,T1,1,1843/RED/BSR/DT. 31-03-2026,BOQ,,AOC
,,,,,,2,6081379,M/S SHARMA CONTRACTOR,01-May-2026 06:49 AM,Accepted-AOC,L1,23-Jun-2026 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,2,1843/RED/BSR/2025-26/31/03/26,Date,,AOC
