Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,All Bids are admitted,Tota Ram,10-Apr-2026 02:18 PM,,BOQ Comparative Chart,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1127802_2,796/AA-6/2025-26,Cleaning of drain from Ramlala School to Rafaka drain via Chaudhary Medical Store under Zone 06 Ward 25 Naveen Nagar.,1.0,6035813.0,MAA KALIKA DEVI CONSTRUCTION COMPANY,INR,"234,009",1,6035813,MAA KALIKA DEVI CONSTRUCTION COMPANY,08-Apr-2026 01:53 AM,Accepted-AOC,L-1,09-Jun-2026 12:38 PM,20-May-2026,"INR 234,009",30.0,Tota Ram,09-Jun-2026 12:38 PM,55665.pdf (131.00 KB),work order,EE-6,Internal,,Tota Ram,12-May-2026 06:05 PM,techsummary_2114181.pdf (42.02 KB),EE-6,Internal,,Tota Ram,12-May-2026 06:07 PM,finsummary_2114181.pdf (42.02 KB),AOC,Cleaning of drain from Ramlala School to Rafaka drain via Chaudhary Medical Store under Zone 06 Ward 25 Naveen Nagar.,Cleaning of drain from Ramlala School to Rafaka drain via Chaudhary Medical Store under Zone 06 Ward 25 Naveen Nagar.,Please refer Tender documents. ,NA ,"2,75,305",Civil Works,NA ,Tender,180.0,30.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,1.0,SBI Bank,ce knn,ce knn moti jheel,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,"27,531",No,percentage,10.0%,Nil,Nil,02-Apr-2026 03:00 PM,08-Apr-2026 04:00 PM,02-Apr-2026 03:00 PM,08-Apr-2026 03:00 PM,NA ,NA ,02-Apr-2026 03:00 PM,08-Apr-2026 03:00 PM,"Kanpur Municipal Corporation, Kanpur, UP",796/AA-6/2025-26,2026_NNKAN_1127802_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,6035024,M/S SURENDRA SINGH,07-Apr-2026 04:48 PM,Rejected-Finance,Lottery Winner,12-May-2026 06:07 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
