Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Er. Bharat Ram,Internal,,Bharat Ram,06-Mar-2026 03:10 PM,06-Mar-2026 04:30 PM,techsummary_2069462.pdf (671.48 KB),23-Mar-2026,"INR 1,287,423.14",20.0,Bharat Ram,13-Jun-2026 01:51 PM,lot5.pdf (339.00 KB),Technical,Attached,Bharat Ram,06-Mar-2026 12:56 PM,,1.0,Revocation,Attached,05-Mar-2026 10:38 PM,Sudhhipatra.pdf ,20.77,Technical Opening,1.0,5892770.0,M/S SINGH CONSTRUCTION COMPANY,INR,"1,287,423.14",Er. Bharat Ram,Internal,,Bharat Ram,10-Mar-2026 03:29 PM,finsummary_2069462.pdf (83.00 KB),Finance,Attached,Bharat Ram,10-Mar-2026 01:03 PM,,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",2026_UPIDC_1112264_23,15/EE/2025-26,Silt Clearance work of Baruni Drain From Km. 2.500 to 6.300 in Distt- Balrampur,1,5892832,AAYUSH & COMPANY,18-Feb-2026 02:57 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:10 PM,AOC,Executive Engineer,Flood Division Balrampur,1.0,SBI Bank,Silt Clearance work of Baruni Drain From Km. 2.500 to 6.300 in Distt- Balrampur,As Per Tender Notice,As Per Tender Notice ,NA ,"32,21,000",Civil Works,NA ,Tender,90.0,20.0,Balrampur,271201.0,NA ,NA ,NA ,Balrampur,No ,No,854.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",15/EE/2025-26,2026_UPIDC_1112264_23,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,13-Feb-2026 10:00 AM,20-Feb-2026 03:00 PM,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,06-Mar-2026 04:30 PM,"64,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5898802,AKANKSHA ASSOCIATES,20-Feb-2026 11:52 AM,Rejected-Finance,L2,10-Mar-2026 01:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5901178,A K ENTERPRIESES,20-Feb-2026 11:12 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5899986,AMRENDRA KUMAR TRIPATHI,20-Feb-2026 02:22 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5902199,Mohammad Abdulla,20-Feb-2026 01:57 PM,Rejected-Finance,L3,10-Mar-2026 01:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5899845,m/s abdul mannan khan,20-Feb-2026 01:02 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5892094,M/s Aman Traders,20-Feb-2026 11:37 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5901430,Ms A S Construction,20-Feb-2026 12:33 PM,Rejected-Finance,L4,10-Mar-2026 01:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5891505,M/S RAJESH CONSTRUCTION,18-Feb-2026 11:45 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5892770,M/S SINGH CONSTRUCTION COMPANY,18-Feb-2026 02:47 PM,Accepted-AOC,L1,13-Jun-2026 01:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
