S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,CORRIGENDUM,Technical Bid,,1.0,DD - Demand Draft,19-Feb-2026 02:00 PM,28-Feb-2026 03:00 PM,19-Feb-2026 03:00 PM,28-Feb-2026 02:00 PM,NA ,NA ,19-Feb-2026 03:30 PM,28-Feb-2026 02:00 PM,30-May-2026 12:05 PM,1.0,Fee/PreQual/Technical,.pdf,nit,"11,800",CMO,HAPUR,No,"3,00,000",No,fixed,,CMO,HAPUR,CHIEF MEDICAL OFFICER HAPUR,CHIEF MEDICAL OFFICER HAPUR,Director General Medical Health||Director Central Medical Stores Department||CMO Hapur,ETENDER /2025-26/1296,2026_DGMH_1118108_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,CIVIL ANURAKSHAN WORK,CIVIL ANURAKSHAN WORK IN HOSPITAL /CMO OFFICE / DISTRICT COMBINED HOSPITAL / ALL CHC/PHC /RESIDENCES AT DISTRICT HAPUR,please refer tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,720.0,HAPUR,245207.0,NA ,NA ,NA ,CMO OFFICE HAPUR,No ,No,AOC,CMO,Internal,CMO DY.CMO DY.CMO,Ved Prakash,01-Jun-2026 12:36 PM,finsummary_2078083.pdf (207.75 KB),Director General Medical Health||Director Central Medical Stores Department||CMO Hapur,2026_DGMH_1118108_1,ETENDER /2025-26/1296,CIVIL ANURAKSHAN WORK,Technical,TECHNICAL EVALUATION COMPLETED,Ved Prakash,30-May-2026 11:53 AM,technical_2078083.pdf,1.0,5940653.0,M/S PRADEEP KUMAR CONTRACTOR,INR,"14,850,000",01-Jun-2026,"INR 14,850,000",730.0,Ved Prakash,02-Jun-2026 11:47 AM,CIVIL.pdf (301.00 KB),1,5938908,M/S MORADABAD CONSTRUCTION AND ELECTRIFICATION,27-Feb-2026 07:18 PM,Not Admitted-Finance,Price Bid not complied,30-May-2026 12:58 PM,Finance,3 BIDS WERE QUALIFIED IN TECHNICAL OUT OF WHICH M/S PRADEEP KUMAR CONTRACTOR WAS SELECTED AS L1 IN FINANCIAL,Praveen Kumar,30-May-2026 12:58 PM,finance_2078083.pdf,BOQ Comparative Chart,CMO,Internal,CMO DY.CMO DY.CMO,Ved Prakash,30-May-2026 12:00 PM,30-May-2026 12:05 PM,techsummary_2078083.pdf (176.22 KB),AOC
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,2.0,Finance,.xls,bOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5940653,M/S PRADEEP KUMAR CONTRACTOR,28-Feb-2026 10:45 AM,Accepted-AOC,L1 SELECTED,02-Jun-2026 11:47 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5936484,NARENDRA TYAGI,27-Feb-2026 10:26 AM,Not Admitted-Finance,Price Bid not complied,30-May-2026 12:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5940863,PADAM LATA NIM CONTRACTOR,28-Feb-2026 11:21 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-May-2026 11:53 AM,,,,,,,,,,,,,,AOC
