S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,6046740.0,Sapna Associates,INR,"16,057,877",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2026_UPRNS_1122663_3,284/SE/E-TENDER/2025-26,"CONSTRUCTION WORK OF TYPE-2 RESIDENCE (06 NOS) AT DISTRICT JAIL ETAH, DISTRICT-ETAH",1,6051954,M/s B.N. GOEL AND COMPANY,18-Apr-2026 03:44 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,29-Apr-2026 04:28 PM,03-Jun-2026,"INR 16,057,877",180.0,NAGENDRA YADAV,04-Jun-2026 12:00 PM,284.pdf (93.00 KB),QUOTED AMOUNT LOWER THAN OTHER BIDER,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE SANJAY KUMAR YADAV AE, SUNIL GUPTA JE, DHARMRUCHI SINGH ACCOUNT INCHARGE",NAGENDRA YADAV,24-Apr-2026 04:50 PM,25-Apr-2026 10:00 AM,techsummary_2121764.pdf (296.14 KB),Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,29-Apr-2026 04:25 PM,finance_2121764.pdf,BOQ Comparative Chart,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,29-Apr-2026 04:28 PM,finsummary_2121764.pdf (296.15 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,24-Apr-2026 04:39 PM,technical_2121764.pdf,AOC,"3,21,700",No,fixed,,EE,ALIGARH,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA","CONSTRUCTION WORK OF TYPE-2 RESIDENCE (06 NOS) AT DISTRICT JAIL ETAH, DISTRICT-ETAH","CONSTRUCTION WORK OF TYPE-2 RESIDENCE (06 NOS) AT DISTRICT JAIL ETAH, DISTRICT-ETAH",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,180.0,DISTRICT JAIL ETAH,226001.0,NA ,NA ,NA ,AGRA,No ,No,13-Apr-2026 11:30 AM,20-Apr-2026 10:00 AM,13-Apr-2026 11:30 AM,18-Apr-2026 05:00 PM,NA ,NA ,13-Apr-2026 11:30 AM,18-Apr-2026 05:00 PM,25-Apr-2026 10:00 AM,1.0,BG - Bank Guarantee,"7,080",EE,ALIGARH,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,284/SE/E-TENDER/2025-26,2026_UPRNS_1122663_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC
,,,,,,,,,2,6053380,M.S. Construction,17-Apr-2026 09:30 AM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,29-Apr-2026 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,AOC
,,,,,,,,,3,6054232,M/S MITTAL CONSTRUCTION CO.,17-Apr-2026 03:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Apr-2026 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6055394,M/s M S Horticulturist And Consultant,18-Apr-2026 03:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Apr-2026 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6046740,Sapna Associates,14-Apr-2026 05:27 PM,Accepted-AOC,QUOTED AMOUNT LOWER THAN OTHER BIDER,04-Jun-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
