Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,01/NPPKOSI/UNTEID GRANT/15 VITT/2026-27,2026_DOLBU_1139132_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"54,940",No,fixed,,EO NPP KOSIKALAN,KOSIKALAN,1.0,FDR - Fixed Deposit,EO NPP KOSIKALAN,EO NPP KOSIKALAN,900.0,EO NPP KOSIKALAN,KOSIKALAN,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,5- WARD NO 17 OR 22 NADUWASS HAJI MANGA WALI GALI ME WASIRA KE MAKAN SE LAKAR KHUDAWAKS KI SHOP TAK OR NEW DEHLI ME VALIM SE PAPPU TAK GALIYON ME INTERLOKING TILES OR NALI KA NIRMAN KARY.,5- WARD NO 17 OR 22 NADUWASS HAJI MANGA WALI GALI ME WASIRA KE MAKAN SE LAKAR KHUDAWAKS KI SHOP TAK OR NEW DEHLI ME VALIM SE PAPPU TAK GALIYON ME INTERLOKING TILES OR NALI KA NIRMAN KARY.,Please refer Tender documents. ,NA ,"5,49,325",Civil Works - Roads,NA ,Tender,60.0,60.0,EO NPP KOSIKALAN,281403.0,NA ,NA ,NA ,EO NPP KOSIKALAN,No ,No,20-Apr-2026 09:00 AM,08-May-2026 03:00 PM,20-Apr-2026 09:00 AM,08-May-2026 02:00 PM,NA ,NA ,20-Apr-2026 09:00 AM,08-May-2026 02:00 PM,15-May-2026 05:40 PM,AOC,Technical,technical,Akhilesh kumar kumar,15-May-2026 04:15 PM,technical_2126895.pdf,EO,Internal,accountent je civil,Akhilesh kumar kumar,20-Jun-2026 06:27 PM,finsummary_2126895.pdf (853.97 KB),Finance,financial,Akhilesh kumar kumar,20-Jun-2026 06:23 PM,finance_2126895.pdf,BOQ Comparative Chart,EO,Internal,Accountent je civil,Akhilesh kumar kumar,15-May-2026 05:35 PM,15-May-2026 05:40 PM,techsummary_2126895.pdf (450.37 KB),20-Jun-2026,"INR 548,336.22",60.0,Akhilesh kumar kumar,20-Jun-2026 06:31 PM,order.pdf (854.00 KB),WARD NO 17 OR 22 NADUWASS HAJI MANGA WALI GALI ME WASIRA KE MAKAN SE LAKAR KHUDAWAKS KI SHOP TAK OR NEW DEHLI ME VALIM SE PAPPU TAK GALIYON ME INTERLOKING TILES OR NALI KA NIRMAN KARY.,1.0,6097855.0,M/s SHYAM SUNDER AND COMPANY,INR,"548,336.22",Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,2026_DOLBU_1139132_5,01/NPPKOSI/UNTEID GRANT/15 VITT/2026-27,5- WARD NO 17 OR 22 NADUWASS HAJI MANGA WALI GALI ME WASIRA KE MAKAN SE LAKAR KHUDAWAKS KI SHOP TAK OR NEW DEHLI ME VALIM SE PAPPU TAK GALIYON ME INTERLOKING TILES OR NALI KA NIRMAN KARY.,1,6094950,M/S Radhey Shyam Duve Thekedar,07-May-2026 08:50 AM,Rejected-Finance,not accepted,20-Jun-2026 06:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6097855,M/s SHYAM SUNDER AND COMPANY,08-May-2026 06:05 AM,Accepted-AOC,accepted,20-Jun-2026 06:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6098664,muni ji associate,08-May-2026 12:11 PM,Rejected-Finance,not accepted,20-Jun-2026 06:27 PM,AOC
