EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"64,000",No,fixed,,Nil,Nil,1.0,SBI Bank,950.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL PART,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANPUR NAGAR,11/RED/Tender/File No 16 /2026-27 dated 04.04.2026,2026_REDUP_1142704_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Road and drain construction work from Harihar Singh house in Gram Panchayat Karbigwa through Dinesh Savita and Ramkishore Vishwakarma Lakhan, Abhinav Rammohan Senger to Babu Lal Yadav house","Road and drain construction work from Harihar Singh house in Gram Panchayat Karbigwa through Dinesh Savita and Ramkishore Vishwakarma Lakhan, Abhinav Rammohan Senger to Babu Lal Yadav house",Please refer Tender documents. ,NA ,"31,91,000",Civil Works - Roads,NA ,Tender,90.0,180.0,KANPUR NAGAR,208001.0,OFFICE OF EXECUTIVE ENGINEER RED VIKASH BHAWAN KAN ,OFFICE OF EXECUTIVE ENGINEER RED VIKASH BHAWAN KAN ,04-May-2026 11:00 AM ,OFFICE OF EXECUTIVE ENGINEER RED VIKASH BHAWAN KAN,No ,No,29-Apr-2026 06:00 PM,11-May-2026 03:30 PM,29-Apr-2026 06:00 PM,11-May-2026 12:00 PM,NA ,NA ,29-Apr-2026 06:00 PM,11-May-2026 12:00 PM,26-May-2026 12:00 PM,EXECUTIVE ENGINEER RED VIKASH BHAWAN KANPUR NAGAR,OFFICE OF EXECUTIVE ENGINEER RED VIKASH BHAWAN KAN,AOC,SRI ANIL KUMAR PANDEY EE RED KANPUR,Internal,SRI JASKARAN SINGH AE RED SRI SUGANDH MISHRA DAO,Anil Kumar Pandey,22-May-2026 01:34 PM,26-May-2026 12:00 PM,techsummary_2136356.pdf (505.43 KB),Finance,FINANCIAL PART OPENED,Anil Kumar Pandey,26-May-2026 05:39 PM,,BOQ Comparative Chart,SRI ANIL KUMAR PANDEY EE RED KANPUR,Internal,,Anil Kumar Pandey,10-Jun-2026 02:39 PM,finsummary_2136356.pdf (474.20 KB),Technical,TECHNICAL PART,Anil Kumar Pandey,21-May-2026 03:36 PM,,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE KANPUR NAGAR,2026_REDUP_1142704_9,11/RED/Tender/File No 16 /2026-27 dated 04.04.2026,"Road and drain construction work from Harihar Singh house in Gram Panchayat Karbigwa through Dinesh Savita and Ramkishore Vishwakarma Lakhan, Abhinav Rammohan Senger to Babu Lal Yadav house",1.0,6100350.0,M/s. Kaustubh & Co.,INR,"3,162,033.08",1,6100350,M/s. Kaustubh & Co.,09-May-2026 12:32 PM,Accepted-AOC,DUE TO L1,25-Jun-2026 03:04 PM,24-Jun-2026,"INR 3,162,033.08",180.0,Anil Kumar Pandey,25-Jun-2026 03:03 PM,kaustubh.pdf (474.00 KB),DUE TO L1,AOC
,,,,,,,,,,,,2,Finance,.xls,FINANCIAL PART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6099998,M/S KUNAL CONSTRUCTION,08-May-2026 10:17 PM,Rejected-Finance,DUE TO L2,10-Jun-2026 02:39 PM,,,,,,,,AOC
