Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
22-Jun-2026,"INR 1,632,411.62",120.0,Surya Prakash,22-Jun-2026 01:32 PM,16.pdf (1395.00 KB),1,6104680,MADAN PAL SINGH,11-May-2026 07:46 AM,Rejected-Finance,Highest Rate,22-Jun-2026 01:29 PM,1.0,6100722.0,Rana Vikramaditya Singh,INR,"1,632,411.62",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2026_REDUP_1137168_8,2403/RED DEORIA/E-TENDER/2025-26. DATED 31.03.2026,DEVGHAT PATHARDEVA ME MADAN JI KE GHAR SE GYANESHWAR KE GHAR TAK CC ROAD KA NIRMAN KARYA,Finance,Financial Bid Open,Surya Prakash,20-May-2026 03:12 PM,,BOQ Comparative Chart,Er. Surya Prakash,Internal,,Surya Prakash,19-May-2026 01:28 PM,20-May-2026 10:00 AM,techsummary_2123617.pdf (1783.38 KB),Technical,Technical Bid Open,Surya Prakash,12-May-2026 04:59 PM,,Er. Surya Prakash,Internal,,Surya Prakash,22-Jun-2026 01:29 PM,finsummary_2123617.pdf (1395.30 KB),AOC,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2403/RED DEORIA/E-TENDER/2025-26. DATED 31.03.2026,2026_REDUP_1137168_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"39,000",Yes,fixed,,Nil,Nil,DEVGHAT PATHARDEVA ME MADAN JI KE GHAR SE GYANESHWAR KE GHAR TAK CC ROAD KA NIRMAN KARYA,DEVGHAT PATHARDEVA ME MADAN JI KE GHAR SE GYANESHWAR KE GHAR TAK CC ROAD KA NIRMAN KARYA,Please Refer Tender Document ,NA ,"19,27,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,16-Apr-2026 10:00 AM,12-May-2026 02:30 PM,16-Apr-2026 10:00 AM,11-May-2026 12:00 PM,NA ,NA ,16-Apr-2026 10:00 AM,11-May-2026 12:00 PM,20-May-2026 10:00 AM,1.0,DATE1,Date,,854.0,Nil,Nil,No,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",AOC
,,,,,,2,6100722,Rana Vikramaditya Singh,10-May-2026 03:06 PM,Accepted-AOC,Lowest Rate,22-Jun-2026 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
