Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,647/EE/Ayo/E-tender/Communoty Hall/2026-27 Date 14.05.2026,2026_SCIDC_1148656_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,"2,360",online,Ayodhya,No,"1,22,000",No,fixed,,E E U P Scidco,Ayodhya,Constructuon of Community Hall in block Tarun village Rampur Pratap Distt Ayodhya,Constructuon of Community Hall in block Tarun village Rampur Pratap Distt Ayodhya,Please refer Tender documents. ,NA ,,Construction Works,Constructuon of Community Hall  ,Tender,90.0,180.0,Ayodhya,224001.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,16-May-2026 11:00 AM ,EE office up scidco,No ,No,1,FDR - Fixed Deposit,15-May-2026 09:00 AM,22-May-2026 11:00 AM,15-May-2026 09:10 AM,22-May-2026 09:00 AM,NA ,NA ,15-May-2026 09:30 AM,22-May-2026 09:00 AM,03-Jun-2026 09:00 AM,1,Fee/PreQual/Technical,.pdf,Constructuon of Community Hall in block Tarun village Rampur Pratap Distt Ayodhya,AOC,EE,Internal,AA EE,Jagpal Verma,02-Jun-2026 01:22 PM,03-Jun-2026 09:00 AM,techsummary_2150246.pdf (1087.63 KB),Finance,Financial Bid opening summary,Jagpal Verma,03-Jun-2026 03:59 PM,finance_2150246.pdf,BOQ Comparative Chart,EE,Internal,E E Asst Acct,Jagpal Verma,03-Jun-2026 04:03 PM,finsummary_2150246.pdf (339.78 KB),Technical,Technical Evalucation,Jagpal Verma,02-Jun-2026 01:19 PM,technical_2150246.pdf,1,6130138,M/S- RAJ AGENCIES,20-May-2026 09:55 AM,Accepted-AOC,ok,05-Jun-2026 04:25 PM,1.0,6130138.0,M/S- RAJ AGENCIES,INR,"6,149,100",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1148656_1,647/EE/Ayo/E-tender/Communoty Hall/2026-27 Date 14.05.2026,Constructuon of Community Hall in block Tarun village Rampur Pratap Distt Ayodhya,04-Jun-2026,"INR 6,149,100",180.0,Jagpal Verma,05-Jun-2026 04:25 PM,LOI.pdf (662.00 KB),Constructuon of Community Hall in block Tarun village Rampur Pratap Distt Ayodhya,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,2,Finance,.xls,fainancial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6133031,RAGHUVANSHI MANI SINGH THEKEDAR,21-May-2026 05:38 PM,Rejected-Finance,disqualify,03-Jun-2026 04:03 PM,,,,,,,,,,,,,,,,,AOC
