Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2026_UPPAN_1133331_1,"78/PAN/ET/25-26, DT. 04-04-2026",CONSTRUCTION OF BOUNDARY WALL AND MAIN GATE AT POLICE STATION SARAIMEER DISTT AZAMGARH U.P.,1.0,6048129.0,M/S ALFAROOQUE CONSTRUCTION,INR,"4,918,429",1,6048129,M/S ALFAROOQUE CONSTRUCTION,15-Apr-2026 10:25 AM,Accepted-AOC,L1,15-Jun-2026 12:26 PM,16-Jun-2026,"INR 4,918,429",210.0,Sanjeev Saxena,15-Jun-2026 12:26 PM,SARAIMEERLOA.pdf (54.00 KB),L1,SANJEEV SAXENA,Internal,PRASHANT TRIPATHI DULAREY PRASAD,Sanjeev Saxena,16-May-2026 05:39 PM,18-May-2026 12:00 PM,techsummary_2115531.pdf (752.40 KB),Finance,All bidder admitted,Manoj Kumar Joshi,19-May-2026 12:56 PM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,PRASHANT TRIPATHI DULAREY PRASAD,Sanjeev Saxena,20-May-2026 06:49 PM,finsummary_2115531.pdf (46.25 KB),Technical,1 BIDDER REJECTED IN TECHNICAL,Sanjeev Saxena,16-May-2026 05:36 PM,,AOC,CONSTRUCTION OF BOUNDARY WALL AND MAIN GATE AT POLICE STATION SARAIMEER DISTT AZAMGARH U.P.,CONSTRUCTION OF BOUNDARY WALL AND MAIN GATE AT POLICE STATION SARAIMEER DISTT AZAMGARH U.P.,Please refer Tender documents. ,NA ,"54,71,000",Civil Works,NA ,Tender,90.0,210.0,POLICE STATION SARAIMEER DISTT AZAMGARH U.P.,276305.0,NA ,NA ,NA ,U.P. Police Avas Nigam Ltd,No ,No,"2,360",Nil,Nil,No,04-Apr-2026 06:00 PM,16-Apr-2026 11:30 AM,04-Apr-2026 06:00 PM,15-Apr-2026 05:00 PM,NA ,NA ,04-Apr-2026 06:00 PM,15-Apr-2026 05:00 PM,18-May-2026 12:00 PM,Sanjeev Saxena,U.P. Police Avas Nigam Ltd,1.0,SBI Bank,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"78/PAN/ET/25-26, DT. 04-04-2026",2026_UPPAN_1133331_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,10,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,AOC
,,,,,,,,,2,6048594,M/S SITARAM JI CONSTRUCTION,15-Apr-2026 02:41 PM,Rejected-Finance,L3,20-May-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,3,6049338,M/S Tathastu,15-Apr-2026 03:21 PM,Rejected-Finance,L4,20-May-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6049152,NYSHA CONSTRUCTION,15-Apr-2026 02:56 PM,Rejected-Finance,L2,20-May-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6048500,VINOD KUMAR SONKAR,15-Apr-2026 04:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
