Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Clearance of Belihan Drain from Km. 0.000 to Km. 6.800,Clearance of Belihan Drain from Km. 0.000 to Km. 6.800,Please refer Tender documents. ,NA ,"3,25,000",Civil Works - Canal,NA ,Tender,90.0,15.0,LAKHIMPUR KHERI,262701.0,NA ,NA ,NA ,LAKHIMPUR,No ,No,354.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||ID-1, lakhimpur khiri",01/EE/2026-27 Dt. 27.04.2026,2026_UPIDC_1142892_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,SBI Bank,05-May-2026 10:00 AM,11-May-2026 12:30 PM,05-May-2026 10:00 AM,11-May-2026 12:00 PM,NA ,NA ,05-May-2026 10:00 AM,11-May-2026 12:00 PM,18-May-2026 11:00 AM,EX.ENG.ID-1 LAKHIMPUR KHERI,EX.ENG.ID-1 SHIV COLONY LAKHIMPUR KHERI,AOC,Finance,Admitted,RAM BAHADUR,20-May-2026 11:50 AM,,BOQ Comparative Chart,EE ID1 LAKHIMPUR KHERI,Internal,,RAM BAHADUR,15-May-2026 01:20 PM,18-May-2026 11:00 AM,techsummary_2135001.pdf (661.80 KB),Technical,Admitted,RAM BAHADUR,15-May-2026 12:17 PM,,EE ID1 LAKHIMPUR KHERI,Internal,,RAM BAHADUR,20-May-2026 03:08 PM,finsummary_2135001.pdf (942.68 KB),26-May-2026,"INR 260,170.4",15.0,RAM BAHADUR,03-Jun-2026 07:04 PM,BelihanAOC2627.pdf (320.00 KB),1,6104123,IKRAR KHAN,10-May-2026 11:05 PM,Rejected-Finance,Due to higher rate,20-May-2026 03:08 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||ID-1, lakhimpur khiri",2026_UPIDC_1142892_6,01/EE/2026-27 Dt. 27.04.2026,Clearance of Belihan Drain from Km. 0.000 to Km. 6.800,1.0,6100280.0,M/S ARADHNA AWASTHI,INR,"260,170.4",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6100280,M/S ARADHNA AWASTHI,09-May-2026 11:46 AM,Accepted-AOC,First Lowest,03-Jun-2026 07:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6103972,SUMAN TIWARI CONTRACTOR,10-May-2026 08:24 PM,Rejected-Finance,Due to higher rate,20-May-2026 03:08 PM,,,,,,,,,,AOC
