Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of cc road and nali work,ward no 15 me asad ke makan se talib ke makan tak gaji gauhar se nisar tak cc road and nali work,Please refer Tender documents. ,NA ,"4,72,472",Civil Works,NA ,Tender,90.0,30.0,np naugawan sadat,244251.0,NA ,NA ,NA ,np naugawan sadat,No ,No,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,NA ,NA ,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,12-May-2026 04:10 PM,1.0,RTGS - RTGS Payment,Directorate of Local Bodies UP||Nagar Panchayat Naugawansadat Amroha,09/N.P.N.S/E-TENDER/2026-27,2026_DOLBU_1136824_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,590.0,eo,np naugawan sadat,No,1.0,Fee/PreQual/Technical,.pdf,fee,1.0,opening date change,Date,,"9,449",No,fixed,,eo,np naugawan sadat,eo,np naugawan sadat,AOC,eo salil bhardwaj,Internal,eo salil bhardwaj clerk anil kumar je tapesh kumar,Anil Kumar,12-May-2026 04:06 PM,12-May-2026 04:10 PM,techsummary_2122825.pdf (300.23 KB),Finance,all financial qualfied bid admitted,Anil Kumar,20-Jun-2026 11:08 AM,finance_2122825.pdf,BOQ Comparative Chart,eo salil bhardwaj,Internal,eo salil bhardwaj clerk anil kumar je tapeshk kumar,Anil Kumar,20-Jun-2026 11:23 AM,finsummary_2122825.pdf (293.85 KB),Technical,all technical qualfied bid admitted,Anil Kumar,12-May-2026 04:04 PM,technical_2122825.pdf,Directorate of Local Bodies UP||Nagar Panchayat Naugawansadat Amroha,2026_DOLBU_1136824_1,09/N.P.N.S/E-TENDER/2026-27,Construction of cc road and nali work,1.0,6085341.0,M/S SHAMIM CONSTRUCTION,INR,"471,718",1,6085341,M/S SHAMIM CONSTRUCTION,03-May-2026 05:35 PM,Accepted-AOC,m/s shammim construction is l1 bidder,20-Jun-2026 11:31 AM,20-Jun-2026,"INR 471,718",30.0,Anil Kumar,20-Jun-2026 11:31 AM,1239.pdf (428.00 KB),m/s shamim consturction is l1 bidder,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,document,2.0,fee update,Fee,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6082486,VoH Group,01-May-2026 11:06 PM,Rejected-Finance,M/S SHAMIM CONSTRUCTION IS L1 BIDDER,20-Jun-2026 11:23 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6083174,ZUBAIR AHMAD CONTRACTOR,02-May-2026 01:16 PM,Rejected-Finance,M/S SHAMIM CONSTRUCTION IS L1 BIDDER,20-Jun-2026 11:23 AM,,,,,,,,AOC
