Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
EE,Internal,AE DAO,Puneet Kumar,30-May-2026 09:00 PM,05-Jun-2026 01:00 PM,techsummary_2127137.pdf (94.97 KB),30-Jun-2026,"INR 3,104,879",90.0,Puneet Kumar,30-Jun-2026 05:56 PM,b5.pdf (251.00 KB),L1,Technical,open,Puneet Kumar,05-May-2026 05:02 PM,technical_2127137.pdf,EE,Internal,AE DAO,Puneet Kumar,12-Jun-2026 12:24 PM,finsummary_2127137.pdf (379.63 KB),Finance,open,Puneet Kumar,11-Jun-2026 07:22 PM,finance_2127137.pdf,BOQ Comparative Chart,1.0,6080811.0,R V VENTURES,INR,"3,104,879",1,6087608,KIRTI CONSTRUCTION,04-May-2026 09:17 PM,Rejected-Finance,L2,12-Jun-2026 12:24 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,2026_REDUP_1139354_14,33 date 02.04.2026,KAMARDEYPUR ME PICH ROAD SE RAJBHAR BASTI TAK MARG KA NIRMAN KARY AND LEPAN KARY,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,33 date 02.04.2026,2026_REDUP_1139354_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,date,Date,,E.E. R.E.D. GHAZIPUR,OFFICE E.E. R.E.D. GHAZIPUR,854.0,Nil,Nil,No,"52,680",Yes,percentage,2.0%,Nil,Nil,KAMARDEYPUR ME PICH ROAD SE RAJBHAR BASTI TAK MARG KA NIRMAN KARY AND LEPAN KARY,KAMARDEYPUR ME PICH ROAD SE RAJBHAR BASTI TAK MARG KA NIRMAN KARY AND LEPAN KARY,Please refer Tender documents. ,NA ,"26,34,000",Civil Works,NA ,Tender,90.0,90.0,GHAZIPUR,233001.0,NA ,NA ,NA ,OFFICE E.E. R.E.D. GHAZIPUR,No ,No,20-Apr-2026 03:00 PM,05-May-2026 12:30 PM,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,NA ,NA ,20-Apr-2026 03:00 PM,05-May-2026 12:00 PM,05-Jun-2026 01:00 PM,1,Fee/PreQual/Technical,.pdf,fee and document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6080811,R V VENTURES,03-May-2026 01:29 PM,Accepted-AOC,L1,30-Jun-2026 05:56 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
