Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",717/A.A.3/25-26,2026_NNKAN_1127421_2,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,02-Apr-2026 06:00 PM,08-Apr-2026 04:00 PM,02-Apr-2026 06:00 PM,08-Apr-2026 03:00 PM,NA ,NA ,02-Apr-2026 06:00 PM,08-Apr-2026 03:00 PM,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,C.E.3,Zone 3,Cleaning of Nala from keshav nagar W-2 Juhi kala in arth Academy to Haluwakhada and nakshatra Vatika in Ward 18 Zone 03,Cleaning of Nala from keshav nagar W-2 Juhi kala in arth Academy to Haluwakhada and nakshatra Vatika in Ward 18 Zone 03,Please refer Tender documents. ,NA ,"1,16,051",Civil Works,NA ,Tender,30.0,NA ,Cleaning of Nala from keshav nagar W-2 Juhi kala i,208040.0,NA ,NA ,NA ,C.E.3,No ,No,1.0,SBI Bank,"11,605",No,percentage,10.0%,Nil,Nil,AOC,C.E.,Internal,,RAJESH KUMAR,24-Jun-2026 12:26 PM,techsummary_2113951.pdf (917.75 KB),C.E.,Internal,,RAJESH KUMAR,24-Jun-2026 12:30 PM,finsummary_2113951.pdf (917.75 KB),Finance,Tender Open,MEENAKSHI AGARWAL,16-Apr-2026 01:12 PM,finance_2113951.pdf,BOQ Comparative Chart,24-Jun-2026,"INR 98,643",45.0,RAJESH KUMAR,24-Jun-2026 12:34 PM,717.pdf (772.00 KB),Work Order,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1127421_2,717/A.A.3/25-26,Cleaning of Nala from keshav nagar W-2 Juhi kala in arth Academy to Haluwakhada and nakshatra Vatika in Ward 18 Zone 03,1.0,6034583.0,TAPESHWARI NARAYAN ENTERPRISES,INR,"98,643",1,6034259,MAA KALIKA DEVI CONSTRUCTION COMPANY,07-Apr-2026 10:54 AM,Rejected-Finance,L2,24-Jun-2026 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6036454,M/s Nisha Enterprisers,08-Apr-2026 01:03 PM,Rejected-Finance,L1,24-Jun-2026 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6034583,TAPESHWARI NARAYAN ENTERPRISES,08-Apr-2026 09:00 AM,Accepted-AOC,L1,24-Jun-2026 12:33 PM,AOC
