Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116437_2,6269(185)/NNA/2025-26,NIRMAN WORK,1.0,6059971.0,AMIR AND BROTHERS CONSTRUCTION CO,INR,"1,143,199.5",1,6059971,AMIR AND BROTHERS CONSTRUCTION CO,20-Apr-2026 06:38 PM,Accepted-AOC,ok,01-Jun-2026 11:31 AM,01-Jun-2026,"INR 1,143,199.5",30.0,Rajesh Kumar,01-Jun-2026 11:31 AM,cammetti.pdf (193.00 KB),ok,ce,Internal,ee,Rajesh Kumar,14-May-2026 03:06 PM,14-May-2026 04:00 PM,techsummary_2120997.pdf (193.42 KB),Finance,ok,Rajvir Singh,19-May-2026 04:27 PM,,BOQ Comparative Chart,CE,Internal,EE,Rajvir Singh,19-May-2026 04:46 PM,finsummary_2120997.pdf (193.38 KB),Technical,All Documents Completed,Danish Haider Naqvi,14-May-2026 03:03 PM,technical_2120997.pdf,AOC,1.0,emd,Fee,,"2,360",Nil,Nil,No,"1,15,300",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(185)/NNA/2025-26,2026_DOLBU_1116437_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13-Apr-2026 05:00 PM,22-Apr-2026 11:00 AM,13-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,NA ,NA ,13-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,14-May-2026 04:00 PM,EE,NAGAR NIGAM ALIGARH,1.0,SBI Bank,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"11,53,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,AOC
,,,,,,,,,2,6060038,M/S C.K.CONSTRUCTION,20-Apr-2026 07:05 PM,Rejected-Finance,OK,19-May-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
