Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
16-Jun-2026,"INR 602,320",10.0,umesh chandra,19-Jun-2026 01:53 PM,Lot01.pdf (256.00 KB),Umesh Chandra Neeraj Kumar,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly||FD, badaun",2026_UPIDC_1155019_1,01/EE/2026-27,01/EE/2026-27,1.0,6154628.0,RAJKUMARI,INR,"602,320",1,6162679,ACURATE CONTRACTOR,02-Jun-2026 05:22 PM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,Technical,Admitted,umesh chandra,06-Jun-2026 04:33 PM,,Umesh Chandra,Internal,Umesh Chandra Neeraj Kumar,umesh chandra,16-Jun-2026 02:56 PM,finsummary_2163515.pdf (191.94 KB),Finance,Admitted,umesh chandra,08-Jun-2026 02:38 PM,,BOQ Comparative Chart,Umesh Chandra,Internal,Umesh Chandra Neeraj Kumar,umesh chandra,06-Jun-2026 05:53 PM,08-Jun-2026 11:00 AM,techsummary_2163515.pdf (485.59 KB),AOC,28-May-2026 06:00 PM,03-Jun-2026 02:00 PM,28-May-2026 06:00 PM,03-Jun-2026 11:00 AM,NA ,NA ,28-May-2026 06:00 PM,03-Jun-2026 11:00 AM,08-Jun-2026 11:00 AM,1.0,Fee,.pdf,Fee,"21,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly||FD, badaun",01/EE/2026-27,2026_UPIDC_1155019_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,Executive Engineer Flood Division Budaun,"Executive Engineer Flood Division Budaun, Near LIC Office Awas Vikas Colony Civil Line Budaun",354.0,Nil,Nil,No,01/EE/2026-27,ANTI EROSION WORK NEAR VILLAGE BHUNDI AT KM 8.520 OF USHAIT TATBUND ON LEFT BANK OF RIVER GANGA IN DISTT. BUDAUN.,Please refer Tender documents. ,NA ,"10,47,000",Civil Works,NA ,Rate Contract,90.0,NA ,Budaun,243601.0,NA ,NA ,NA ,Executive Engineer Flood Division Budaun,No ,No,AOC
,,,,,,,,,,,,,,,,2,6164029,AJAB SINGH CONTRACTOR AND SUPPLIERS,03-Jun-2026 10:20 AM,Rejected-Technical,Charactor Certificate in Valid,06-Jun-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6161928,M/S AVNISH CONTRACTOR,02-Jun-2026 12:43 PM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,3.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6163873,M/S DEVENDRA PAL SINGH,03-Jun-2026 08:57 AM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6163125,M/S DINESH KUMAR SINGH,02-Jun-2026 08:59 PM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6155414,M/S J K INTERLOCKING BRICKS,02-Jun-2026 04:10 PM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,6154488,M/S MAHESHWARI TRADERS,31-May-2026 02:27 PM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,6160177,M/S PARAS ENTERPRISES,01-Jun-2026 08:07 PM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,6161244,M/S RAMNATH CONTRACTOR,02-Jun-2026 09:29 AM,Rejected-AOC,Rejected,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,6154628,RAJKUMARI,02-Jun-2026 07:50 AM,Accepted-AOC,Accepted,19-Jun-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
