Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Attara Banda,2026_DOLBU_1146395_6,41/npp(2026-27)/26 Atarra Date-05/05/2026,Construction of RCC Nala from Durga Tempal to Tahseel Gate at Ward no. 15 Bhagwat Nagar,1.0,6148817.0,SHUKLA INTERPRISES,INR,"998,600.4",1,6148909,M/S RAM KRISHNA,28-May-2026 04:28 PM,Rejected-AOC,L 2,10-Jun-2026 05:17 PM,10-Jun-2026,"INR 998,600.4",30.0,Vijeta Gupta,10-Jun-2026 05:17 PM,nit.pdf (235.00 KB),Construction of RCC Nala from Durga Tempal to Tahseel Gate at Ward no. 15 Bhagwat Nagar,eo,Internal,"eo, Je, Accountant",Vijeta Gupta,06-Jun-2026 02:30 PM,06-Jun-2026 02:35 PM,techsummary_2144152.pdf (81.37 KB),Finance,All Documents are Completed.,Vijeta Gupta,10-Jun-2026 02:37 PM,finance_2144152.pdf,BOQ Comparative Chart,eo,Internal,eo je accountant,Vijeta Gupta,10-Jun-2026 05:13 PM,finsummary_2144152.pdf (213.95 KB),Technical,All Documents are Completed.,Vijeta Gupta,06-Jun-2026 02:10 PM,technical_2144152.pdf,AOC,1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,All Documents are compulsory.,"19,980",No,fixed,,eo,atarra,1.0,Date Corrigendum,Date,,08-May-2026 10:00 AM,29-May-2026 02:00 PM,08-May-2026 10:00 AM,28-May-2026 06:00 PM,NA ,NA ,08-May-2026 10:00 AM,28-May-2026 06:00 PM,06-Jun-2026 02:35 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Attara Banda,41/npp(2026-27)/26 Atarra Date-05/05/2026,2026_DOLBU_1146395_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,200",eo,atarra,No,Construction of RCC Nala from Durga Tempal to Tahseel Gate at Ward no. 15 Bhagwat Nagar,Construction of RCC Nala from Durga Tempal to Tahseel Gate at Ward no. 15 Bhagwat Nagar,Refer to Tender Notice. ,NA ,"9,99,000",Civil Works,NA ,Tender,90.0,30.0,at Atarra,210201.0,NA ,NA ,NA ,In Office,No ,No,eo,Npp Atarra,AOC
,,,,,,,,,2,6148817,SHUKLA INTERPRISES,28-May-2026 01:07 PM,Accepted-AOC,L 1,10-Jun-2026 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
