S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,"37,800",Yes,fixed,,Nil,Nil,Vikash khand rampurmaniharan ke Gram kanjauli me Ravidas mandir se jinda hasan ke ghar ki or c c road v nail nirmaan karya,Vikash khand rampurmaniharan ke Gram kanjauli me Ravidas mandir se jinda hasan ke ghar ki or c c road v nail nirmaan karya,Vikash khand rampurmaniharan ke Gram kanjauli me Ravidas mandir se jinda hasan ke ghar ki or c c road v nail nirmaan karya ,NA ,"18,90,000",Civil Works,NA ,Tender,90.0,90.0,EE red saharanpur,247001.0,EE red saharanpur vikas bhawan delhi road saharanp ,EE red saharanpur vikas bhawan delhi road saharanpur ,25-Apr-2026 12:00 PM ,EE red saharanpur vikas bhawan delhi road saharanp,No ,No,23-Apr-2026 10:00 AM,28-Apr-2026 12:30 PM,23-Apr-2026 10:00 AM,28-Apr-2026 12:00 PM,NA ,NA ,23-Apr-2026 10:00 AM,28-Apr-2026 12:00 PM,11-May-2026 12:00 PM,Executive Engineer,EE red saharanpur vikas bhawan delhi road saharanpur,1.0,Fee/PreQual/Technical,.pdf,Technical document,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,1617/RED/cashier/25-26 dt 20-03-2026,2026_REDUP_1139817_53,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,AOC,Ravi,Internal,Pavan kumar rajendra kumar Assistant Engineer,Rajendra Kumar,01-Jun-2026 07:18 PM,finsummary_2130032.pdf (98.11 KB),Finance,ok,Rajendra Kumar,01-Jun-2026 07:15 PM,,BOQ Comparative Chart,1.0,6069195.0,M/S AFZAL AHMAD CONTRACTOR,INR,"1,846,975.13",1.0,6070757.0,Manoj Kumar Contractor,26-Apr-2026 09:35 PM,Rejected-Finance,L2,01-Jun-2026 07:18 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,2026_REDUP_1139817_53,1617/RED/cashier/25-26 dt 20-03-2026,Vikash khand rampurmaniharan ke Gram kanjauli me Ravidas mandir se jinda hasan ke ghar ki or c c road v nail nirmaan karya,01-Jun-2026,"INR 1,846,975.13",90.0,Rajendra Kumar,01-Jun-2026 07:21 PM,dd.pdf (98.00 KB),ok,Technical,Admitted,SANDEEP KUMAR AGARWAL,07-May-2026 03:00 PM,,Ravi,Internal,rajender kuamar pavan kumar,SANDEEP KUMAR AGARWAL,07-May-2026 05:18 PM,11-May-2026 12:00 PM,techsummary_2130032.pdf (98.16 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,fess end emd,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,6069195.0,M/S AFZAL AHMAD CONTRACTOR,26-Apr-2026 12:21 PM,Accepted-AOC,L1,01-Jun-2026 07:21 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
