Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
Er. Surya Prakash,Internal,,Surya Prakash,19-May-2026 01:46 PM,20-May-2026 10:00 AM,techsummary_2123796.pdf (1783.38 KB),Technical,Technical Bid Open,Surya Prakash,12-May-2026 05:33 PM,,22-Jun-2026,"INR 1,201,856.33",120.0,Surya Prakash,22-Jun-2026 12:03 PM,13.pdf (1434.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2026_REDUP_1137168_16,2403/RED DEORIA/E-TENDER/2025-26. DATED 31.03.2026,GRAMSABHA MUSAHARI ME UPENDRA KUSHWAHA KE GHAR SE BHOLA RAO KE GHAR TAK CC KARYA,1,6104694,MADAN PAL SINGH,11-May-2026 08:04 AM,Rejected-Finance,Highest Rate,20-Jun-2026 03:27 PM,Er. Surya Prakash,Internal,,Surya Prakash,20-Jun-2026 03:27 PM,finsummary_2123796.pdf (1433.75 KB),Finance,Financial Bid Open,Surya Prakash,20-May-2026 03:38 PM,,BOQ Comparative Chart,1.0,6100758.0,Rana Vikramaditya Singh,INR,"1,201,856.33",AOC,GRAMSABHA MUSAHARI ME UPENDRA KUSHWAHA KE GHAR SE BHOLA RAO KE GHAR TAK CC KARYA,GRAMSABHA MUSAHARI ME UPENDRA KUSHWAHA KE GHAR SE BHOLA RAO KE GHAR TAK CC KARYA,Please Refer Tender Document ,NA ,"14,19,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2403/RED DEORIA/E-TENDER/2025-26. DATED 31.03.2026,2026_REDUP_1137168_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,16-Apr-2026 10:00 AM,12-May-2026 02:30 PM,16-Apr-2026 10:00 AM,11-May-2026 12:00 PM,NA ,NA ,16-Apr-2026 10:00 AM,11-May-2026 12:00 PM,20-May-2026 10:00 AM,766.0,Nil,Nil,No,1.0,SBI Bank,"28,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,1.0,DATE1,Date,,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",AOC
,,,,,,,,,,,,,,,,,,,,,,2,6100758,Rana Vikramaditya Singh,10-May-2026 03:53 PM,Accepted-AOC,Lowest Rate,22-Jun-2026 12:03 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,AOC
