S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,Gram Saharawa me Purwa Soharamau Marg se Prabha Shankar ke Darwaje tak. Vikash Khand- Asoha,Gram Saharawa me Purwa Soharamau Marg se Prabha Shankar ke Darwaje tak. Vikash Khand- Asoha,Plz Refer Doc ,NA ,"26,87,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,59/RED/Tender/Unnao/26-27 Dt-06-04-2026,2026_REDUP_1142669_69,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,28-Apr-2026 09:00 AM,04-May-2026 12:30 PM,28-Apr-2026 09:00 AM,04-May-2026 12:00 PM,NA ,NA ,28-Apr-2026 09:00 AM,04-May-2026 12:00 PM,22-May-2026 05:00 PM,"54,000",Yes,fixed,,Nil,Nil,Er Narendra Chaudhary,Vikas Bhawan Unnao,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"2,384",Nil,Nil,No,AOC,Finance,Summary,Narendra chaudhary,20-Jun-2026 02:36 PM,finance_2134599.pdf,BOQ Comparative Chart,Er Narendra Chaudhry,Internal,,Narendra chaudhary,20-Jun-2026 02:39 PM,finsummary_2134599.pdf (1013.44 KB),1.0,6082068.0,M/S RAHUL PRATAP SINGH,INR,"2,666,899.07",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1142669_69,59/RED/Tender/Unnao/26-27 Dt-06-04-2026,Gram Saharawa me Purwa Soharamau Marg se Prabha Shankar ke Darwaje tak. Vikash Khand- Asoha,1,6082554,M/S LAKSHMI SHANKAR,02-May-2026 04:29 PM,Rejected-AOC,l2,20-Jun-2026 02:41 PM,20-Jun-2026,"INR 2,666,899.07",90.0,Narendra chaudhary,20-Jun-2026 02:41 PM,Marg0005.pdf (1013.00 KB),l1,Technical,Summary,Narendra chaudhary,22-May-2026 04:52 PM,technical_2134599.pdf,Er Narendra Chaudhry,Internal,,Narendra chaudhary,22-May-2026 04:55 PM,22-May-2026 05:00 PM,techsummary_2134599.pdf (467.06 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6082068,M/S RAHUL PRATAP SINGH,02-May-2026 12:21 PM,Accepted-AOC,l1,20-Jun-2026 02:41 PM,,,,,,,,,,,,,,,,,,,,AOC
