Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,S.A.Enterprises,DIVAKAR BHASKAR,12-May-2026 08:14 PM,,BOQ Comparative Chart,11-Jun-2026,"INR 626,351",45.0,DIVAKAR BHASKAR,11-Jun-2026 12:07 PM,1129701sa.pdf (374.00 KB),"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1129701_2,1339/AA-2/25-26,Improvement of Side Patri and Drain At VIP Road Infront of Kanpur Car Bazar in Zone02,1.0,6108250.0,S.A.Enterprises,INR,"626,351",1,6108206,M/S Falaq Enterprises,11-May-2026 11:16 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,12-May-2026 08:14 PM,CE,Internal,,DIVAKAR BHASKAR,11-Jun-2026 12:04 PM,techsummary_2139503.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,11-Jun-2026 12:06 PM,finsummary_2139503.pdf (194.18 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.xls,boq,"74,664",No,percentage,10.0%,Nil,Nil,Improvement of Side Patri and Drain At VIP Road Infront of Kanpur Car Bazar in Zone02,Improvement of Side Patri and Drain At VIP Road Infront of Kanpur Car Bazar in Zone02,Please refer Tender documents. ,NA ,"7,46,635",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,1.0,SBI Bank,"CHIEF ENGINEER, KMC",Motijheel,"Kanpur Municipal Corporation, Kanpur, UP",1339/AA-2/25-26,2026_NNKAN_1129701_2,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,04-May-2026 09:00 AM,12-May-2026 04:00 PM,04-May-2026 09:00 AM,12-May-2026 03:00 PM,NA ,NA ,04-May-2026 09:00 AM,12-May-2026 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2,6108250,S.A.Enterprises,11-May-2026 11:30 PM,Accepted-AOC,AOC,11-Jun-2026 12:08 PM,,,,,,,,,,,,,AOC,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
