Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE BARABANKI,15/EE RED Barabanki/2026-27 Dt 02/04/2026,2026_REDUP_1142969_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,1.0,SBI Bank,28-Apr-2026 02:00 PM,12-May-2026 01:00 PM,28-Apr-2026 02:00 PM,12-May-2026 12:00 PM,NA ,NA ,28-Apr-2026 02:00 PM,12-May-2026 12:00 PM,22-May-2026 12:00 PM,"Under District Barabanki, Construction of CC road from Asphalt Road to Ramcharan house in village Para of Suratganj, Lot No 16","Under District Barabanki, Construction of CC road from Asphalt Road to Ramcharan house in village Para of Suratganj, Lot No 16",Please refer Tender documents. ,NA ,"22,71,000",Civil Works,NA ,Tender,90.0,90.0,Barabanki,224001.0,EE RED Barabanki Vikas Bhawan Barabanki ,EE RED Barabanki Vikas Bhawan Barabanki  ,30-Apr-2026 09:00 AM ,EE RED Barabanki Vikas Bhawan Barabanki,No ,No,"45,420",No,percentage,2.0%,Nil,Nil,EE RED Barabanki Vikas Bhawan Barabanki,EE RED Barabanki Vikas Bhawan Barabanki,854.0,Nil,Nil,No,AOC,Finance,Summary,Gyanedra Kumar,23-May-2026 02:35 PM,,BOQ Comparative Chart,Er Gyanendra Kumar EE RED Barabanki,Internal,,Gyanedra Kumar,26-Jun-2026 02:47 PM,finsummary_2134780.pdf (452.11 KB),1.0,6097072.0,OM SAI RAM CONSTRUCTION,INR,"2,728,636",1,6096843,JAI DURGA ASSOCIATES,12-May-2026 08:29 AM,Rejected-Finance,Rejected,26-Jun-2026 02:47 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE BARABANKI,2026_REDUP_1142969_16,15/EE RED Barabanki/2026-27 Dt 02/04/2026,"Under District Barabanki, Construction of CC road from Asphalt Road to Ramcharan house in village Para of Suratganj, Lot No 16",Er Gyanendra Kumar EE RED Barabanki,Internal,,Gyanendra Kumar,21-May-2026 01:00 PM,22-May-2026 12:00 PM,techsummary_2134780.pdf (245.00 KB),26-Jun-2026,"INR 2,728,636",90.0,Gyanedra Kumar,26-Jun-2026 02:55 PM,15_16.pdf (452.00 KB),Technical,Summary,Gyanendra Kumar,12-May-2026 07:04 PM,,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6097072,OM SAI RAM CONSTRUCTION,12-May-2026 08:37 AM,Accepted-AOC,AOC,26-Jun-2026 02:55 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
