Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Mohammdi Lakhimpur,2026_DOLBU_1145079_1,NPPM_57_(15)_2026_27,NPPM_57_(15)_2026_27,1.0,6152762.0,M/S ZULFIKAR KHAN CONTRACTOR,INR,"1,218,053",1,6152972,M/s Chandra Construction,30-May-2026 08:16 AM,Rejected-Finance,HIGH,11-Jun-2026 05:08 PM,15-Jun-2026,"INR 1,218,053",60.0,jagdeo prasad,18-Jun-2026 03:36 PM,15.pdf (421.00 KB),WORK ORDER,SANDEEP MEHROTRA,Internal,J.P MAURYA (EO) SATISH CHANDRA MAURYA (JE) SHIVNANDAN RASHTOGI (ACCOUNTANT),jagdeo prasad,10-Jun-2026 04:40 PM,10-Jun-2026 04:45 PM,techsummary_2140145.pdf (307.87 KB),Finance,TENDER FINANCIAL OPPENING SUMMARY,jagdeo prasad,11-Jun-2026 03:40 PM,finance_2140145.pdf,BOQ Comparative Chart,SANDEEP MEHROTRA,Internal,J.P MAURYA (EO) SATISH CHANDRA MAURYA (JE) SHIVNANDAN RASHTOGI (ACCOUNTANT),jagdeo prasad,11-Jun-2026 05:08 PM,finsummary_2140145.pdf (1269.87 KB),Technical,TECHNICAL BID OPPENING SUMMARY....,jagdeo prasad,10-Jun-2026 02:40 PM,technical_2140145.pdf,AOC,EO,NPP MOHAMMADI,Directorate of Local Bodies UP||Nagar Palika Parishad Mohammdi Lakhimpur,NPPM_57_(15)_2026_27,2026_DOLBU_1145079_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,04-May-2026 03:00 PM,30-May-2026 03:00 PM,04-May-2026 03:00 PM,30-May-2026 11:30 AM,NA ,NA ,04-May-2026 03:00 PM,30-May-2026 11:30 AM,10-Jun-2026 04:45 PM,"24,400",No,fixed,,EO,NPP MOHAMMADI,"3,068",EO,NPP MOHAMMADI,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1,DD - Demand Draft,NPPM_57_(15)_2026_27,WARD NO.10 PURVI LAKHPEDA MAI RISHI BAJPEI KAI MAKAAN SE NEERAJ KASHYAP KE MAKAAN TAK NAALI AND INTERLOCKING ROAD,Please refer Tender documents. ,NA ,"12,18,000",Civil Works,NA ,Tender,30.0,NA ,NPP MOHAMMADI,262804.0,NA ,NA ,NA ,NPP MOHAMMADI,No ,No,AOC
,,,,,,,,,2,6152762,M/S ZULFIKAR KHAN CONTRACTOR,29-May-2026 08:34 PM,Accepted-AOC,ALL OK,18-Jun-2026 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6152735,R N CONTRACTORS,29-May-2026 08:21 PM,Rejected-Finance,HIGH,11-Jun-2026 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,AOC
