Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,1961/RED/Tender 19/25-26 Dt 30.03.2026,2026_REDUP_1150357_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"21,000",Yes,fixed,,Nil,Nil,PM Shri Prathmik Vidhyaly Mandi me 137Mtr Chardiwari Ka,PM Shri Prathmik Vidhyaly Mandi me 137Mtr Chardiwari Ka Nirman Karya,PM Shri Prathmik Vidhyaly Mandi me 137Mtr Chardiwari Ka Nirman Karya ,NA ,"10,47,000",Civil Works,NA ,Tender,90.0,90.0,MUZAFFARNAGAR,251001.0,MUZAFFARNAGAR ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR ,20-May-2026 12:00 PM ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT V,No ,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR,1.0,SBI Bank,766.0,Nil,Nil,No,19-May-2026 05:00 PM,26-May-2026 12:30 PM,20-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,20-May-2026 10:00 AM,25-May-2026 12:00 PM,02-Jun-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,EXECUTIVE ENGINEER,Internal,EE AE DAO,Anil Kumar,08-Jun-2026 10:47 PM,finsummary_2153918.pdf (447.45 KB),Technical,Summary,Anil Kumar,29-May-2026 05:56 PM,technical_2153918.pdf,Executive Engineer,Internal,EE DAO AE,Anil Kumar,29-May-2026 06:11 PM,02-Jun-2026 12:00 PM,techsummary_2153918.pdf (307.48 KB),Finance,Summary,Anil Kumar,08-Jun-2026 10:24 PM,finance_2153918.pdf,BOQ Comparative Chart,1.0,6135849.0,M/S A.P. DEVELOPERS,23-May-2026 11:30 AM,Accepted-AOC,L1,25-Jun-2026 02:37 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,2026_REDUP_1150357_1,1961/RED/Tender 19/25-26 Dt 30.03.2026,PM Shri Prathmik Vidhyaly Mandi me 137Mtr Chardiwari Ka,1.0,6135849.0,M/S A.P. DEVELOPERS,INR,"1,046,405.93",08-Jun-2026,"INR 1,046,405.93",90.0,Anil Kumar,25-Jun-2026 02:37 PM,A1.pdf (494.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6135879.0,PRAVINDRA KUMAR,23-May-2026 12:11 PM,Rejected-Finance,L2,08-Jun-2026 10:47 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
