Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"Construction of a CC road and drainage system from Deshraj house to Rajaram house in Village Amargarh, Hamlet Bairal.","Construction of a CC road and drainage system from Deshraj house to Rajaram house in Village Amargarh, Hamlet Bairal.",Please refer Tender documents. ,NA ,"13,98,000",Civil Works,NA ,Tender,90.0,180.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,30-Apr-2026 11:00 AM ,EE RED BSR,No ,No,1.0,SBI Bank,1,1843/RED/BSR/DT. 31-03-2026,BOQ,,1,Fee/PreQual/Technical,.pdf,T1,"28,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,16-Apr-2026 12:00 PM,02-May-2026 04:00 PM,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,15-May-2026 12:00 PM,EE RED BSR,EE RED BSR,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1843/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1134670_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,ee red bsr,Internal,ee dao,Vishnoo Kumar,13-May-2026 02:24 PM,15-May-2026 12:00 PM,techsummary_2118283.pdf (520.24 KB),Finance,Amargarh,Vishnoo Kumar,11-Jun-2026 03:08 PM,finance_2118283.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,11-Jun-2026 03:27 PM,finsummary_2118283.pdf (376.81 KB),Technical,amargarh,Vishnoo Kumar,13-May-2026 02:04 PM,technical_2118283.pdf,1,6080257,RADHA KRISHAN ENTERPRISES,30-Apr-2026 05:38 PM,Accepted-AOC,L,11-Jun-2026 03:35 PM,1.0,6080257.0,RADHA KRISHAN ENTERPRISES,INR,"1,396,542",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1134670_1,1843/RED/Tender/ 2025-26/Dt 31/03/26,"Construction of a CC road and drainage system from Deshraj house to Rajaram house in Village Amargarh, Hamlet Bairal.",11-Jun-2026,"INR 1,396,542",180.0,Vishnoo Kumar,11-Jun-2026 03:35 PM,BonAmargarh.pdf (377.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,1843/RED/BSR/2025-26/31/03/26,Date,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6080758,RAJEEV ENTERPRISES,30-Apr-2026 06:44 PM,Rejected-Finance,L2,11-Jun-2026 03:27 PM,,,,,,,,,,,,,,,,AOC
