Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,2026_SCIDC_1141244_1,07/SE/GZB/E-TENDER/2026-27,Construction of D.I.G. Residence and Camp office for Additional Commissioner of Police Headquarter at Distt. Gautam buddh Nagar,1.0,6094392.0,Atharva Builtech,INR,"15,387,735",1.0,6094392.0,Atharva Builtech,07-May-2026 09:31 AM,Accepted-AOC,Being L1,18-Jun-2026 05:39 PM,29-Jun-2026,"INR 15,387,735",365.0,Mool Chandra,18-Jun-2026 05:39 PM,aoc.pdf (458.00 KB),AWARD OF CONTRACT for Construction of D.I.G. Residence and Camp office for Additional Commissioner of Police Headquarter at Distt. Gautam buddh Nagar,Superintending Engineer,Internal,"A.K. Nirmal - S.E., A.K. Verma - E.E., M. Chandra - A.A.O.",Mool Chandra,23-May-2026 10:25 AM,finsummary_2131163.pdf (2314.00 KB),Technical,Technical Evaluation Summary,Mool Chandra,11-May-2026 01:04 PM,technical_2131163.pdf,Superintending Engineer,Internal,"A.K. Nirmal - S.E., A.K. Verma - E.E., M. Chandra - A.A.O.",Mool Chandra,11-May-2026 01:06 PM,11-May-2026 05:00 PM,techsummary_2131163.pdf (2314.00 KB),Finance,Financial Evaluation Summary,Mool Chandra,22-May-2026 01:10 PM,finance_2131163.pdf,BOQ Comparative Chart,AOC,Suprintending Engineer,"Suprintending Engineer office - SJ-59, Shastri Nagar, Ghaziabad-201002",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,07/SE/GZB/E-TENDER/2026-27,2026_SCIDC_1141244_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,Construction of D.I.G. Residence and Camp office for Additional Commissioner of Police Headquarter at Distt. Gautam buddh Nagar,Construction of D.I.G. Residence and Camp office for Additional Commissioner of Police Headquarter at Distt. Gautam buddh Nagar,Please refer Tender documents. ,NA ,"1,56,30,000",Construction Works,NA ,Tender,90.0,365.0,District Gautam Buddh Nagar,201008.0,NA ,NA ,NA ,Suprintending Engineer office,No ,No,1.0,RTGS - RTGS Payment,"3,13,000",No,fixed,,UPSCIDCO,GAUTAM BUDDH NAGAR,"5,310",UPSCIDCO,GAUTAM BUDDH NAGAR,No,24-Apr-2026 12:00 PM,07-May-2026 12:00 PM,24-Apr-2026 12:00 PM,07-May-2026 11:00 AM,NA ,NA ,24-Apr-2026 12:00 PM,07-May-2026 11:00 AM,11-May-2026 05:00 PM,1,Fee,.pdf,Fee,AOC
,,,,,,,,,2.0,6094330.0,M/S MAA VAISHNAV CONSTRUCTION,06-May-2026 07:02 PM,Rejected-Finance,Being L2,23-May-2026 10:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,PreQual/Technical,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,Finance,AOC
