Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",747/AA-6/2025-26,2026_NNKAN_1119351_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,23-Feb-2026 12:00 PM,28-Feb-2026 04:00 PM,23-Feb-2026 12:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,23-Feb-2026 12:00 PM,28-Feb-2026 03:00 PM,1.0,date extenison,Date,,Improvement work of footpath by interlocking from 215/7 to Geeta Nagar market in front of 361 under Zone 06 Ward 91,Improvement work of footpath by interlocking from 215/7 to Geeta Nagar market in front of 361 under Zone 06 Ward 91,Please refer Tender documents. ,NA ,"9,85,661",Civil Works,NA ,Tender,180.0,45.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,1.0,SBI Bank,"98,566",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,ce knn,ce knn moti jheel,AOC,EE-6,Internal,,Tota Ram,20-Apr-2026 05:42 PM,finsummary_2081414.pdf (42.02 KB),EE-6,Internal,,Tota Ram,20-Apr-2026 05:40 PM,techsummary_2081414.pdf (42.02 KB),11-May-2026,"INR 946,136",45.0,Tota Ram,10-Jun-2026 05:31 PM,747__.pdf (108.00 KB),work order,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1119351_1,747/AA-6/2025-26,Improvement work of footpath by interlocking from 215/7 to Geeta Nagar market in front of 361 under Zone 06 Ward 91,1.0,5923390.0,VINAY CONSTRUCTION AND DEVELOPERS,INR,"946,136",1,5925423,ARYA CONSTRUCTION,24-Feb-2026 05:58 PM,Rejected-Finance,L-2,20-Apr-2026 05:42 PM,Finance,All Bids are admitted,Tota Ram,13-Mar-2026 12:08 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5923390,VINAY CONSTRUCTION AND DEVELOPERS,24-Feb-2026 05:38 PM,Accepted-AOC,L-1,10-Jun-2026 05:31 PM,,,,,,,AOC
