Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
944.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,T1,"C.C. road and drainage construction work in Village Ilna, from Bijendra Singh house towards Bhopal Singh house.","C.C. road and drainage construction work in Village Ilna, from Bijendra Singh house towards Bhopal Singh house.",Please refer Tender documents. ,NA ,"17,02,000",Civil Works,NA ,Tender,90.0,180.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,30-Apr-2026 11:00 AM ,EE RED BSR,No ,No,EE RED BSR,EE RED BSR,"35,000",No,fixed,,Nil,Nil,16-Apr-2026 12:00 PM,02-May-2026 04:00 PM,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 12:00 PM,01-May-2026 12:00 PM,15-May-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1843/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1134650_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,1843/RED/BSR/DT. 31-03-2026,BOQ,,AOC,Finance,Elna,Vishnoo Kumar,01-Jun-2026 01:14 PM,finance_2118242.pdf,BOQ Comparative Chart,ee red bsr,Internal,ee dao,Vishnoo Kumar,13-May-2026 03:36 PM,15-May-2026 12:00 PM,techsummary_2118242.pdf (597.19 KB),Technical,ilna,Vishnoo Kumar,13-May-2026 03:31 PM,technical_2118242.pdf,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,01-Jun-2026 01:31 PM,finsummary_2118242.pdf (62.98 KB),01-Jun-2026,"INR 1,698,542",180.0,Vishnoo Kumar,01-Jun-2026 01:52 PM,BonElna.pdf (363.00 KB),1,6081372,G S Traders,01-May-2026 05:23 AM,Rejected-Finance,L2,01-Jun-2026 01:31 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1134650_1,1843/RED/Tender/ 2025-26/Dt 31/03/26,"C.C. road and drainage construction work in Village Ilna, from Bijendra Singh house towards Bhopal Singh house.",1.0,6080774.0,M/S HINDUSTAN CONSTRUCTION,INR,"1,698,542",AOC
,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1843/RED/BSR/2025-26/31/03/26,Date,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6080774,M/S HINDUSTAN CONSTRUCTION,01-May-2026 02:37 AM,Accepted-AOC,L1,01-Jun-2026 01:52 PM,,,,,,,,,,AOC
