Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
CE,Ghaziabad Nagar Nigam,1.0,SBI Bank,"In Ward-50, Noor Nagar, from Pramod house to Ratanlal, passing through Sarlavitan and Ajay Tyagi houses till Mudit Tyagi house, construction of CC road and drain.","In Ward-50, Noor Nagar, from Pramod house to Ratanlal, passing through Sarlavitan and Ajay Tyagi houses till Mudit Tyagi house, construction of CC road and drain.",Please refer Tender documents. ,NA ,"7,24,748",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,"21,742",No,percentage,3.0%,Nil,Nil,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,416",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,20-May-2026 12:00 PM,AOC,ce,Internal,,Kuldeep Kumar Tamar,15-Jun-2026 01:02 PM,finsummary_2121866.pdf (580.82 KB),Finance,Finance,narendra kumar chaudhary,21-May-2026 04:14 PM,,BOQ Comparative Chart,1.0,6078046.0,MAHAKALESHWAR ENGINEERS,INR,"616,036",1,6078058,A P CONSTRUCTION COMPANY,30-Apr-2026 08:35 AM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_23,116/Nirman/2026-27 Date 04.04.2026,"In Ward-50, Noor Nagar, from Pramod house to Ratanlal, passing through Sarlavitan and Ajay Tyagi houses till Mudit Tyagi house, construction of CC road and drain.",15-Jun-2026,"INR 616,036",15.0,Kuldeep Kumar Tamar,15-Jun-2026 01:05 PM,23116.pdf (581.00 KB),Technical,Technical,Kuldeep Kumar Tamar,30-Apr-2026 05:19 PM,,CE,Internal,,Kuldeep Kumar Tamar,19-May-2026 01:25 PM,20-May-2026 12:00 PM,techsummary_2121866.pdf (675.42 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6077703,JP SHAKTI CONSTRUCTION,29-Apr-2026 08:27 PM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,6080056,KESH RAM CONSTRUCTIONS,30-Apr-2026 01:30 PM,Rejected-Technical,all requried not complete,19-May-2026 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,6078046,MAHAKALESHWAR ENGINEERS,29-Apr-2026 04:35 PM,Accepted-AOC,L1,15-Jun-2026 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,6063518,M/S CHOUDHARY ASSOCIATES,23-Apr-2026 08:04 AM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,6072742,M/S GAUD AND CONSTRUCTION COMPNAY,27-Apr-2026 06:59 PM,Rejected-Technical,all requried not complete,19-May-2026 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,6080160,M/s Mahadev Constructions,30-Apr-2026 12:49 PM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,6077171,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,30-Apr-2026 10:31 AM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,6080108,M/S SHIV CONSTRUCTION,30-Apr-2026 02:43 PM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,6063623,RADHA ASSOCIATES,23-Apr-2026 08:24 AM,Rejected-Finance,L2,15-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
