Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,25-May-2026 02:55 PM,26-May-2026 12:00 PM,techsummary_2141312.pdf (324.78 KB),25-Jun-2026,"INR 651,655",20.0,NEERAJ KUMAR SINGH,25-Jun-2026 04:20 PM,Kakua12.pdf (441.00 KB),Accepted,Technical,Admitted,NEERAJ KUMAR SINGH,18-May-2026 12:57 PM,,Finance,Admitted,NEERAJ KUMAR SINGH,26-May-2026 04:05 PM,,BOQ Comparative Chart,Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,25-Jun-2026 12:55 PM,finsummary_2141312.pdf (440.92 KB),1.0,6093107.0,M/S DEEPAK CONSTRUCTIONS,INR,"651,655",U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,2026_UPIDC_1145201_35,01/EE/2026-27,Clearance of Kakua 12.150 to 20.100 Drain,1,6100340,chahar constructions,09-May-2026 01:20 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:55 PM,AOC,354.0,Nil,Nil,No,1.0,Fee,.pdf,Corrigendum Date,Clearance of Kakua 12.150 to 20.100 Drain,Clearance of Kakua 12.150 to 20.100 Drain,Please Refer Tender Document ,NA ,"16,66,000",Civil Works,NA ,Tender,90.0,20.0,Clearance of Kakua 12.150 to 20.100 Drain,282001.0,NA ,NA ,NA ,Agra,No ,No,Executive Engineer,"Lower Division Agra Canal, Agra",05-May-2026 05:00 PM,15-May-2026 12:00 PM,05-May-2026 05:00 PM,14-May-2026 05:00 PM,05-May-2026 05:00 PM ,11-May-2026 05:00 PM ,05-May-2026 05:00 PM,14-May-2026 05:00 PM,26-May-2026 12:00 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,01/EE/2026-27,2026_UPIDC_1145201_35,Yes,Open Tender,Item Wise,Works,3.0,No,No,Online,No,No,No,1.0,date and conditions,Date,,1.0,SBI Bank,"34,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6113899,M/s CHANCHAL ASSOCIATES,14-May-2026 01:38 PM,Rejected-Finance,L2,25-Jun-2026 12:55 PM,AOC,,,,,2.0,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6093107,M/S DEEPAK CONSTRUCTIONS,14-May-2026 09:50 AM,Accepted-AOC,L1,25-Jun-2026 04:03 PM,AOC,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6093168,M/s LATURI SINGH CONTRACTOR & SUPPLIERS,09-May-2026 03:08 PM,Rejected-Finance,L3,25-Jun-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6093144,M/S MAYA CONSTRUCTION,10-May-2026 10:44 AM,Rejected-Finance,L7,25-Jun-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6105147,M/s Pradeep Construction,11-May-2026 10:30 AM,Rejected-Finance,L5,25-Jun-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6093204,M/s SADANBABU CONTRACTOR,10-May-2026 09:30 AM,Rejected-Finance,L8,25-Jun-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6115742,M/s Shree Dauji Enterprises,14-May-2026 03:31 PM,Rejected-Finance,L6,25-Jun-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6102479,OM CONTRACTOR,14-May-2026 08:27 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6114877,RAMA YADAV,14-May-2026 10:26 AM,Rejected-Finance,L4,25-Jun-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6101608,SALAMAT HUSSAIN,09-May-2026 07:11 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
