EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"21,85,130",No,fixed,,As per tender document,As per tender document,"20,000",As per tender document,As per tender document,No,14-Feb-2026 06:00 PM,27-Feb-2026 05:00 PM,14-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,NA ,NA ,14-Feb-2026 06:00 PM,27-Feb-2026 03:00 PM,13-Mar-2026 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Document,Construction of Proposed 02 lane ROB near Level X-ing No 77 From Tahsil Sadar to Arjun Nagar Over Idgah Bayana Rail Section in distt. Agra.,Construction of Proposed 02 lane ROB near Level X-ing No 77 From Tahsil Sadar to Arjun Nagar Over Idgah Bayana Rail Section in distt. Agra.,Please refer Tender documents. ,NA ,"9,25,90,272",Civil Works - Bridges,NA ,Tender,90.0,365.0,Sadar Tehsil Agra,282001.0,Agra ,"H.N.-05, Vishwakarma Enclave Extension, Shastripura Road, Sikandra Agra-282007 ",23-Feb-2026 02:00 PM ,Agra,No ,No,Chief Project Manager,"H.N.-05, Vishwakarma Enclave Extension, Shastripura Road, Sikandra Agra-282007",1.0,RTGS - RTGS Payment,UP STATE BRIDGE CORPORATION LIMITED||JMD UPSBC Ghaziabad||GM / CPM UP SBC Agra,1894/ET/CPM/Agra/2025-26 Date 14.02.2026,2026_UPSBC_1116254_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Technical,Technical Evo,SHASHI BHUSHAN VARSHNEYA,12-Mar-2026 06:41 PM,technical_2072466.pdf,D.K. Yadav,Internal,"Mohit Kumar (PM), R.B. Diwakar (DPM), Dheeraj Kumar Saxena (Accountant)",SHASHI BHUSHAN VARSHNEYA,13-Mar-2026 04:09 PM,finsummary_2072466.pdf (209.16 KB),Finance,Financial Summary,SHASHI BHUSHAN VARSHNEYA,13-Mar-2026 04:02 PM,finance_2072466.pdf,BOQ Comparative Chart,D.K. Yadav,Internal,"Mohit Kumar (PM), R.B. Diwakar (DPM), Dheeraj Kumar Saxena (Accountant)",SHASHI BHUSHAN VARSHNEYA,12-Mar-2026 06:47 PM,13-Mar-2026 03:00 PM,techsummary_2072466.pdf (209.16 KB),30-Apr-2026,"INR 96,293,882.74",365.0,DINESH KUMAR YADAV,23-Jun-2026 03:31 PM,Agreement.pdf (1731.00 KB),"Contract Awarded to M/s Girrajji Buildtech Pvt. Ltd., Agra",1,5932735,CREATIVE MINERALS INDIA PVT LTD,26-Feb-2026 08:28 PM,Rejected-Finance,Find Highest,13-Mar-2026 04:09 PM,UP STATE BRIDGE CORPORATION LIMITED||JMD UPSBC Ghaziabad||GM / CPM UP SBC Agra,2026_UPSBC_1116254_1,1894/ET/CPM/Agra/2025-26 Date 14.02.2026,Construction of Proposed 02 lane ROB near Level X-ing No 77 From Tahsil Sadar to Arjun Nagar Over Idgah Bayana Rail Section in distt. Agra.,1.0,5934439.0,GIRRAJJI BUILDTECH PRIVATE LIMITED,INR,"96,293,882.74",AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5936374,danvir,27-Feb-2026 12:47 PM,Rejected-Finance,Find L2,13-Mar-2026 04:09 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5934439,GIRRAJJI BUILDTECH PRIVATE LIMITED,26-Feb-2026 06:54 PM,Accepted-AOC,Lowest Tenderer,23-Jun-2026 03:35 PM,,,,,,,,,,AOC
