Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
04-Jun-2026,"INR 1,321,704",360.0,Rajeev Mohan Saxena,04-Jun-2026 06:31 PM,AOCCC.pdf (266.00 KB),Lowest rate,1.0,6110732.0,AMRITA INTERPRISES,INR,"1,321,704",Directorate of Local Bodies UP||Nagar Palika Parishad Pt. Deendayal Upadhayay Chandauli,2026_DOLBU_1145488_1,Letter No.353/ Date 05.05.2026,Door To door sorsh segrication work -,1,6110732,AMRITA INTERPRISES,12-May-2026 02:55 PM,Accepted-AOC,Lowest rate,04-Jun-2026 06:31 PM,Finance,Accepeted,Rajeev Mohan Saxena,04-Jun-2026 06:23 PM,finance_2141303.pdf,BOQ Comparative Chart,Rajeev mohan saxena,Internal,Accepted,Rajeev Mohan Saxena,18-May-2026 07:03 PM,19-May-2026 02:00 PM,techsummary_2141303.pdf (330.99 KB),Technical,Accepetd,Rajeev Mohan Saxena,18-May-2026 06:59 PM,technical_2141303.pdf,Rajeev mohan,Internal,Accepeted,Rajeev Mohan Saxena,04-Jun-2026 06:26 PM,finsummary_2141303.pdf (500.21 KB),AOC,Rajeev mohan saxena,EO Pt. DDU nagar chandauli,06-May-2026 09:00 AM,13-May-2026 03:00 PM,06-May-2026 09:00 AM,13-May-2026 02:00 PM,NA ,NA ,06-May-2026 09:00 AM,13-May-2026 02:00 PM,19-May-2026 02:00 PM,Door To door sorsh segrication work -,Door To door sorsh segrication work -,Door To door sorsh segrication work - ,NA ,"1,63,00,000",Civil Works,NA ,Tender,120.0,360.0,chandauli,232104.0,NA ,NA ,NA ,EO pt. DDU nagar chandauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,FDR And NSC,1.0,FDR - Fixed Deposit,Directorate of Local Bodies UP||Nagar Palika Parishad Pt. Deendayal Upadhayay Chandauli,Letter No.353/ Date 05.05.2026,2026_DOLBU_1145488_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,"16,30,000",No,fixed,,EO pt. DDU nagar chandauli,chandauli,"16,000",EO pt. DDU nagar chandauli,Chnadauli,No,AOC
,,,,,,,,,,,,,,,,2,6109876,LION SECURITY GUARDS SERVICES,12-May-2026 12:01 PM,Rejected-Finance,Highest rate,04-Jun-2026 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technichal,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6113108,Prithvi Agro Farm Producer Company,13-May-2026 12:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-May-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,faincial,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
