Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
04-Jun-2026,"INR 838,943",45.0,DIVAKAR BHASKAR,11-Jun-2026 12:31 PM,1133156aj.pdf (354.00 KB),AOC,1,6029245,M/s A J Enterprises,04-Apr-2026 02:07 PM,Accepted-AOC,AOC,11-Jun-2026 12:31 PM,1.0,6029245.0,M/s A J Enterprises,INR,"838,943","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1133156_1,TN/08/AA-2/25-26,Improvment of Road and drin By C.C. from Ram ray saray churaha to furkan neta at jajmau in ward -96 zone -2,Finance,M/s A J Enterprises,DIVAKAR BHASKAR,07-Apr-2026 10:56 AM,,BOQ Comparative Chart,CE,Internal,,DIVAKAR BHASKAR,07-Apr-2026 11:07 AM,finsummary_2115184.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,07-Apr-2026 10:58 AM,techsummary_2115184.pdf (194.18 KB),AOC,"99,683",No,percentage,10.0%,Nil,Nil,04-Apr-2026 11:50 AM,04-Apr-2026 04:00 PM,04-Apr-2026 11:50 AM,04-Apr-2026 03:00 PM,NA ,NA ,04-Apr-2026 11:50 AM,04-Apr-2026 03:00 PM,"CHIEF ENGINEER, KMC",MOtijheel,"Kanpur Municipal Corporation, Kanpur, UP",TN/08/AA-2/25-26,2026_NNKAN_1133156_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,1.0,SBI Bank,Improvment of Road and drin By C.C. from Ram ray saray churaha to furkan neta at jajmau in ward -96 zone -2,Improvment of Road and drin By C.C. from Ram ray saray churaha to furkan neta at jajmau in ward -96 zone -2,Please refer Tender documents. ,NA ,"9,96,831",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,1.0,Fee/PreQual/Technical/Finance,.xls,boq,AOC
,,,,,,,2,6029282,M/S Falaq Enterprises,04-Apr-2026 02:04 PM,Rejected-Finance,L2,07-Apr-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,AOC
,,,,,,,3,6029260,S.A.Enterprises,04-Apr-2026 02:15 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,07-Apr-2026 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
