Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||ID, etawah",01/Retender/EE/2026-27,2026_UPIDC_1157840_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-Jun-2026 02:00 PM,15-Jun-2026 12:00 PM,08-Jun-2026 02:00 PM,13-Jun-2026 02:00 PM,NA ,NA ,08-Jun-2026 02:00 PM,13-Jun-2026 02:00 PM,16-Jun-2026 12:30 PM,177.0,Nil,Nil,No,Maintenance of Malhausi drain from Km. 0.000 to 6.740,Maintenance of Malhausi drain from Km. 0.000 to 6.740,Please Refer Tender Document ,NA ,"3,20,000",Civil Works - Others,NA ,Tender,90.0,20.0,Etawah,206001.0,NA ,NA ,NA ,Etawah,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,"32,000",No,fixed,,Nil,Nil,Executive Engineer,Irrigation Division Near Numise Chauraha Etawah,AOC,Finance,All Admitted,RAMESH CHANDRA,16-Jun-2026 01:08 PM,,BOQ Comparative Chart,Ramesh Chandra,Internal,,RAMESH CHANDRA,16-Jun-2026 12:26 PM,16-Jun-2026 12:30 PM,techsummary_2169851.pdf (101.34 KB),Technical,All Admitted,RAMESH CHANDRA,16-Jun-2026 12:19 PM,,Ramesh chandra,Internal,,RAMESH CHANDRA,16-Jun-2026 01:12 PM,finsummary_2169851.pdf (101.34 KB),18-Jun-2026,"INR 305,030",20.0,RAMESH CHANDRA,20-Jun-2026 01:30 PM,Malhaisi.pdf (435.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||ID, etawah",2026_UPIDC_1157840_2,01/Retender/EE/2026-27,Maintenance of Malhausi drain from Km. 0.000 to 6.740,1.0,6191774.0,Bhartiya Inferatech,INR,"305,030",1,6191746,A K INFRATECH,13-Jun-2026 11:20 AM,Rejected-AOC,L2,20-Jun-2026 01:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6191774,Bhartiya Inferatech,13-Jun-2026 11:40 AM,Accepted-AOC,L1,20-Jun-2026 01:30 PM,AOC
