Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Creation of nature trails and public amenities (beach, fountains, etc.)","Creation of nature trails and public amenities (beach, fountains, etc.)",Please refer Tender documents. ,NA ,"62,46,862",Civil Works,NA ,Tender,120.0,70.0,Ayodhya,224001.0,NA ,NA ,NA ,"Divisional Forest Officer, Forest Division Ayodhya",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,"3,20,000",No,fixed,,"divisional forest officer, ayodhya",ayodhya,"Divisional Forest Officer, Forest Division Ayodhya","Divisional Forest Officer, Forest Division Ayodhya","1,180","divisional forest officer, ayodhya",ayodhya,Yes,1.0,DD - Demand Draft,O/o Principal Chief Conservator and Wildlife||DFO Faizabad,3357/22-1 dated 18-04-2026,2026_UPDFW_1139583_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,20-Apr-2026 05:00 PM,01-May-2026 01:00 PM,20-Apr-2026 05:00 PM,01-May-2026 12:00 PM,NA ,NA ,20-Apr-2026 05:00 PM,01-May-2026 12:00 PM,07-May-2026 12:45 PM,AOC,Prakhar Gupta,Internal,"Ratnendra Trigunayat, Saurabh Srivastava, Chandrabhan Verma",Saurabh Srivastava,07-May-2026 12:43 PM,07-May-2026 12:45 PM,techsummary_2127770.pdf (177.32 KB),Finance,summary,Chandra Bhan Verma,07-May-2026 01:03 PM,finance_2127770.pdf,BOQ Comparative Chart,RatnendraROAyodhya,Internal,"ROayodhya,ROBikapur,Accountant,Storekeeper",Chandra Bhan Verma,06-Jun-2026 01:52 PM,finsummary_2127770.pdf (651.56 KB),Technical,Summary,Ratnendra kumar Trigunayat,04-May-2026 04:20 PM,technical_2127770.pdf,1,6081155,ASLAM AGHA AND COMPANY,30-Apr-2026 07:08 PM,Rejected-AOC,not L1,06-Jun-2026 02:12 PM,1.0,6081371.0,Unity Modtech Services,INR,"6,178,149",O/o Principal Chief Conservator and Wildlife||DFO Faizabad,2026_UPDFW_1139583_1,3357/22-1 dated 18-04-2026,"Creation of nature trails and public amenities (beach, fountains, etc.)",06-Jun-2026,"INR 6,178,149",70.0,Chandra Bhan Verma,06-Jun-2026 02:12 PM,AOC.pdf (276.00 KB),Nature Trail and development of water channels,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6080900,M/S YASH ENTERPRISES,30-Apr-2026 04:19 PM,Rejected-AOC,not L1,06-Jun-2026 02:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6081371,Unity Modtech Services,01-May-2026 03:25 AM,Accepted-AOC,L1,06-Jun-2026 02:12 PM,,,,,,,,,,,,,,,,,AOC
