S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,6123873.0,VIJAY KUMAR SINGH,INR,"39,321,268.29","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",2026_UPIDC_1147738_5,01/SE-XI/2026-27,AS PER NIT01 LOT05,1,6126935,AKANKSHA ASSOCIATES,19-May-2026 10:52 AM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-May-2026 01:59 PM,02-Jun-2026,"INR 39,321,268.29",270.0,Dhruva Chandra Verma,02-Jun-2026 07:56 AM,aoc1.pdf (487.00 KB),1.0,Tender Revocation,Tender Revocation,30-May-2026 01:14 PM,lot05techrevoke.pdf ,111.44,Technical Opening,DC VERMA,Internal,,Dhruva Chandra Verma,01-Jun-2026 06:11 PM,finsummary_2147863.pdf (185.34 KB),Technical,attached,Dhruva Chandra Verma,30-May-2026 01:52 PM,technical_2147863.pdf,DC VERMA,Internal,,Dhruva Chandra Verma,30-May-2026 01:59 PM,30-May-2026 02:30 PM,techsummary_2147863.pdf (661.98 KB),Finance,AS PER BOQ,Dhruva Chandra Verma,01-Jun-2026 06:06 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,1.0,SBI Bank,13-May-2026 10:00 AM,19-May-2026 01:00 PM,13-May-2026 10:00 AM,19-May-2026 11:00 AM,NA ,NA ,13-May-2026 10:00 AM,19-May-2026 11:00 AM,30-May-2026 02:30 PM,AS PER NIT01 LOT05,AS PER NIT01 LOT05,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,TANDA AMBEDKAR NAGAR,224190.0,O/O SE XITH CIRCLE IW AYODHYA ,O/O SE XITH CIRCLE IW AYODHYA ,13-May-2026 01:00 PM ,O/O SE XITH CIRCLE IW AYODHYA,No ,No,"8,230",Nil,Nil,No,SUPERINTENDING ENGINEER,O/O SE XITH CIRCLE IW AYODHYA,"8,95,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad",01/SE-XI/2026-27,2026_UPIDC_1147738_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,6120044,ARVIND KUMAR SINGH,19-May-2026 12:14 AM,Rejected-Finance,L2,01-Jun-2026 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6126075,M/S PRABHAT TRADERS,18-May-2026 08:54 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-May-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6123873,VIJAY KUMAR SINGH,18-May-2026 11:25 AM,Accepted-AOC,l1,02-Jun-2026 07:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6126086,VIRAT CONSTRUCTION,19-May-2026 10:05 AM,Rejected-Technical,NOT QUALIFY WITH TECHNICAL SPECIFICATION,30-May-2026 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,6126798,VISHNUPRAD CONSTRUCTION PVT LTD,19-May-2026 10:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-May-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
