Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE AZAMGARH,2026_REDUP_1142685_1,2172/RED/Tender/ST/2025-26 Dt 28.03.2026,Construction of CC road from Village Bisauli Jankipur Jolahapur Road to Village Bisauli Road-1,1.0,6091876.0,MS SURESH CONSTRUCTION,INR,"1,129,733.63",1.0,6091860.0,M/S JAI SHREE BALAJI CONSTRUCTION,06-May-2026 12:58 AM,Rejected-AOC,Highest Rate,11-Jun-2026 05:53 PM,11-Jun-2026,"INR 1,129,733.63",90.0,MANOJ KUMAR SINGH,11-Jun-2026 05:53 PM,sur.pdf (527.00 KB),Date of Start Date of Comp,Executive Engineer,Internal,DAO AE,MANOJ KUMAR SINGH,11-Jun-2026 05:51 PM,finsummary_2133929.pdf (1513.46 KB),Technical,TEC,MANOJ KUMAR SINGH,13-May-2026 09:52 AM,technical_2133929.pdf,Executive Engineer,Internal,DAO AE,MANOJ KUMAR SINGH,13-May-2026 10:02 AM,15-May-2026 12:00 PM,techsummary_2133929.pdf (1513.46 KB),Finance,FIN,MANOJ KUMAR SINGH,11-Jun-2026 05:49 PM,finance_2133929.pdf,BOQ Comparative Chart,AOC,29-Apr-2026 04:00 PM,06-May-2026 01:00 PM,29-Apr-2026 04:00 PM,06-May-2026 12:00 PM,29-Apr-2026 04:00 PM ,06-May-2026 12:00 PM ,29-Apr-2026 04:00 PM,06-May-2026 12:00 PM,15-May-2026 12:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,DD and EMD,"27,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE AZAMGARH,2172/RED/Tender/ST/2025-26 Dt 28.03.2026,2026_REDUP_1142685_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"1,106",Nil,Nil,No,Construction of CC road from Village Bisauli Jankipur Jolahapur Road to Village Bisauli Road-1,Construction of CC road from Village Bisauli Jankipur Jolahapur Road to Village Bisauli Road-1,Please Refer Tender Document ,NA ,"13,34,000",Civil Works,NA ,Tender,90.0,90.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,E.E. R.E.D. Division Azamgarh,R.E.D. Department Viakas Bhawan Azamgarh,AOC
,,,,,,,,,2.0,6091876.0,MS SURESH CONSTRUCTION,06-May-2026 01:17 AM,Accepted-AOC,Lowest Rate,11-Jun-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,FinancialDocument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
