S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical Bid,Executive Engineer,Vikash Bhawan,"34,040",No,percentage,2.0%,Nil,Nil,896.0,Nil,Nil,No,06-May-2026 09:00 AM,12-May-2026 09:00 AM,06-May-2026 09:00 AM,11-May-2026 12:00 PM,NA ,NA ,06-May-2026 09:00 AM,11-May-2026 12:00 PM,18-May-2026 05:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,81/EE/RED/GKP/25-26 Date 09-04-2026,2026_REDUP_1144823_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Gram Sabha Jungle Maghi (Block-Bhathat) mein Prathmik Vidyalaya se Purane CC Road Tak CC Road ka Nirman,Gram Sabha Jungle Maghi (Block-Bhathat) mein Prathmik Vidyalaya se Purane CC Road Tak CC Road ka Nirman,Please refer Tender documents. ,NA ,"17,02,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikash Bhawan,No ,No,AOC,1.0,6100870.0,AWADH ENTERPRISES,INR,"1,701,971",Finance,Opend,Abhishek Rai,19-May-2026 11:13 AM,,BOQ Comparative Chart,Executive Engineer,Internal,,Abhishek Rai,19-May-2026 12:04 PM,finsummary_2139843.pdf (152.96 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1144823_18,81/EE/RED/GKP/25-26 Date 09-04-2026,Gram Sabha Jungle Maghi (Block-Bhathat) mein Prathmik Vidyalaya se Purane CC Road Tak CC Road ka Nirman,1,6101101,ATUL & COMPANY,09-May-2026 04:27 PM,Rejected-AOC,L2,06-Jun-2026 11:00 AM,04-Jun-2026,"INR 1,701,971",90.0,Abhishek Rai,06-Jun-2026 11:00 AM,bpdf.pdf (153.00 KB),Technical,Opend,Abhishek Rai,14-May-2026 10:21 AM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,18-May-2026 04:55 PM,18-May-2026 05:00 PM,techsummary_2139843.pdf (444.97 KB),AOC
,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6100870,AWADH ENTERPRISES,09-May-2026 03:34 PM,Accepted-AOC,L1,06-Jun-2026 11:00 AM,,,,,,,,,,,,,,,,,,,AOC
