Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,2026_DOLBU_1120164_89,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,290",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDERNOTICE,WARD NO.12 ME NAHAR SAMPARK MARG SE PRAMOD GUPTA KE GHAR HOTE HUYE RAMASHANKAR MISHRA V GAUSHALA KE PICHHE MITTI KAHDNJA KARYA .,WARD NO.12 ME NAHAR SAMPARK MARG SE PRAMOD GUPTA KE GHAR HOTE HUYE RAMASHANKAR MISHRA V GAUSHALA KE PICHHE MITTI KAHDNJA KARYA .,Please refer Tender documents. ,NA ,"15,16,959",Civil Works,NA ,Tender,90.0,120.0,NPP DEORIA,274001.0,NA ,NA ,NA ,NPP DEORIA,No ,No,"1,51,696",No,fixed,,Nil,Nil,EO NPP DEORIA,NPP DEORIA,28-Feb-2026 11:00 AM,25-Mar-2026 03:00 PM,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,10-Apr-2026 04:30 PM,AOC,1,5981949,HARENDRA SINGH,17-Mar-2026 02:23 PM,Accepted-AOC,L1,01-Jun-2026 09:07 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,2026_DOLBU_1120164_89,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,WARD NO.12 ME NAHAR SAMPARK MARG SE PRAMOD GUPTA KE GHAR HOTE HUYE RAMASHANKAR MISHRA V GAUSHALA KE PICHHE MITTI KAHDNJA KARYA .,"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Jai Ram Yadav,13-Apr-2026 11:55 AM,finsummary_2084397.pdf (90.25 KB),Finance,FINANCIAL BID OPENED,Jai Ram Yadav,10-Apr-2026 10:19 PM,,BOQ Comparative Chart,1.0,5981949.0,HARENDRA SINGH,INR,"1,515,138","SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Jai Ram Yadav,10-Apr-2026 04:08 PM,10-Apr-2026 04:30 PM,techsummary_2084397.pdf (463.40 KB),Technical,TECHNICAL BID OPENED,Jai Ram Yadav,10-Apr-2026 01:47 PM,,07-May-2026,"INR 1,515,138",120.0,Sanjay kumar Tiwari,01-Jun-2026 09:07 PM,89.pdf (500.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5984498,M/S DIWAKAR PANDEY,18-Mar-2026 11:51 AM,Rejected-Finance,L3,13-Apr-2026 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5982391,M/S SWETANK FOUNDATION,17-Mar-2026 04:22 PM,Rejected-Finance,L2,13-Apr-2026 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
